Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
384,-15516,15004,-11603,-3255,-850,-57000,-1000,201000,661471,
500,-15532,14836,-11520,-3362,-953,-58000,-1000,201000,661473,
968,-15028,15496,-11009,-3968,-884,-59000,-1000,201000,661486,
1000,-14884,15520,-10827,-4093,-852,-59000,-1000,0,196000,
1160,-15372,17016,-9498,-6163,-1243,-61000,-2000,202000,661521,
1244,-15632,17152,-9403,-6295,-1360,-61000,-2000,202000,661524,
1456,-15940,17360,-8847,-6379,-1504,-62000,-3000,203000,661536,
1544,-15776,17372,-8622,-6331,-1499,-62000,-3000,203000,661539,
1632,-15804,17300,-8479,-6219,-1459,-62000,-3000,203000,661541,
2276,-15304,17400,-7696,-5209,-1105,-63000,-3000,203000,661554,
2596,-15224,17104,-6817,-3804,-357,-63000,-3000,204000,661569,
2628,-15280,16968,-6717,-3559,-229,-64000,-3000,204000,661571,
2620,-15320,16840,-92,-1176,16960,-581,440,7,-11000,
956,-1224,16876,-675,379,35,-11000,1000,198000,666595,
420,-1280,16468,-585,420,357,-11000,2000,197000,665945,
2888,-14568,16636,-4348,-483,1000,-65000,-4000,204000,661608,
2840,-14636,16496,-3568,-310,674,-65000,-3000,204000,661621,
2764,-14792,16464,-3458,-296,590,-65000,-3000,204000,661624,
2612,-14748,16496,-3258,-405,484,-65000,-3000,204000,661626,
2388,-15208,15436,-2727,-737,49,-65000,-4000,204000,661639,
2256,-15156,15268,-2636,-819,61,-65000,-4000,204000,661641,
2276,-15160,15168,-2532,-910,59,-65000,-4000,204000,661643,
2484,-15148,14364,-2155,-1132,-28,-65000,-4000,205000,661656,
2736,-14956,14124,-2082,-1032,16972,-413,-460,339,-11000,
3072,-14704,13660,-1382,-414,-115,-65000,-4000,205000,661674,
3336,-14320,13716,-1165,-154,51,-65000,-4000,205000,661678,
3180,-13788,13100,-733,695,475,-65000,-4000,205000,661691,
3096,-13752,13248,-643,841,475,-65000,-4000,205000,661694,
3096,-13588,13284,-504,930,1000,0,0,0,661694,
2680,-13608,12600,-102,1036,500,-65000,-4000,204000,661709,
2696,-13796,11612,302,305,322,-65000,-4000,204000,661726,
2524,-13800,11340,287,148,285,-65000,-4000,204000,661728,
3100,-13968,11056,434,-509,-350,-65000,-4000,204000,661748,
3280,-14076,10688,425,-34,-665,-65000,-4000,204000,661761,
3344,-14128,10456,396,78,-642,-65000,-4000,2016356,-509,
3284,-14016,10228,411,1297,-656,-64000,-4000,204000,661778,
3092,-13896,10116,506,1455,-635,-64000,-4000,204000,661781,
1960,-13724,9892,686,1907,-524,-64000,-4000,204000,661801,
1148,-13632,9904,566,1140,-417,-64000,-4000,204000,661813,
1156,-13644,9972,528,950,-413,-64000,-4000,204000,661816,
1036,-13808,9876,530,724,-374,-64000,-4000,204000,661818,
712,-14332,10092,508,-945,-117,-64000,-4000,204000,661835,
1288,-14168,10484,656,-1732,-32,-64000,-4000,204000,661848,
1692,-14016,10680,637,-1860,-20,-64000,-4000,204000,661853,
696,-1152,16584,-588,545,210,-11000,1000,199000,666839,
2460,-13756,11684,969,-1318,-99,-64000,-4000,204000,661870,
2456,-13944,12220,1182,-807,-63,-63000,-4000,204000,661883,
2428,-14016,12568,1233,-808,7,-63000,-4000,204000,661885,
2248,-14152,12492,1280,-755,-2,-63000,-4000,204000,661888,
