Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp
-8492,2376,12404,-2263,-6281,5934,3000,34000,116000,201117
-9976,2584,13140,-2857,-2879,6637,3000,34000,117000,201129
-10124,2556,13232,-2960,-2568,6717,4000,34000,117000,201132
-10240,2628,13428,-3093,-2389,6733,4000,34000,117000,201134
-10836,2824,14388,-3713,-3273,6622,4000,33000,118000,201146
-10720,2892,14492,-3838,-3830,6590,4000,33000,118000,201149
-10528,2844,14644,-3975,-4508,6509,4000,33000,118000,201151
-9476,2800,14780,-4402,-9254,6225,4000,32000,119000,201164
-9160,2728,14636,-4507,-10149,6216,4000,32000,119000,201166
-8776,2688,14408,-4617,-10957,6186,4000,32000,119000,201168
-7212,2312,13360,-5002,-11740,6173,3000,31000,120000,201181
-6820,2184,13316,-5030,-11360,6215,3000,30000,120000,201183
-6700,2016,13276,-4963,-10890,6239,3000,30000,120000,201185
-6568,1996,12992,-4466,-7238,6504,3000,29000,121000,201198
-6364,1908,13084,-4390,-6581,6507,3000,29000,121000,201200
-6168,2048,13068,-4282,-5962,6426,3000,29000,121000,201202
1312,2104,14720,-3388,-4571,3037,3000,29000,121000,201215
1592,2224,14380,-3288,-4977,1378,3000,28000,121000,201217
4,2296,14452,-3277,-4815,113,3000,28000,121000,201219
-7224,1780,15416,-2769,941,-1377,3000,28000,121000,201232
-8316,1528,15908,-2430,1769,-997,3000,28000,121000,201234
-8912,1496,16152,-2071,2403,-488,3000,28000,121000,201236
-11344,1012,15412,-482,2271,3192,3000,29000,121000,201249
-11536,924,14724,-425,1830,3740,3000,29000,121000,201251
-11596,848,14312,-452,1308,4284,3000,29000,122000,201253
-11220,1216,11732,-1969,-1800,5144,3000,29000,122000,201266
-11160,1392,11472,-2403,-2332,5050,3000,29000,122000,201268
-11224,1436,11324,-2843,-2939,4914,3000,29000,122000,201270
-10836,2040,12224,-4439,-6738,4713,3000,28000,123000,201283
-10964,2148,12248,-4675,-7546,4801,3000,28000,123000,201285
-10840,2160,12096,-4914,-8318,4980,3000,28000,123000,201288
-9028,1492,12052,-5936,-11718,6902,3000,27000,124000,201300
