Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
-1716,-2820,16728,-406,4,-194,-17000,7000,269000,909058,
-1888,-2840,16492,-226,177,-65,-17000,7000,269000,909071,
-1784,-2928,16484,-304,222,-38,-17000,7000,269000,909073,
-1984,-2832,16504,-167,227,-52,-17000,7000,269000,909075,
-1712,-2768,16356,-182,252,115,-17000,7000,269000,909088,
-1852,-2740,16248,-154,217,111,-17000,7000,269000,909090,
-1532,-2636,16356,-226,234,119,-17000,7000,269000,909092,
-1564,-2608,16044,-170,104,102,-17000,7000,269000,909105,
-1560,-2596,16044,-133,106,135,-17000,7000,269000,909107,
-1560,-2636,16220,-124,93,98,-17000,7000,269000,909109,
-1356,-2640,15896,-65,235,162,-17000,7000,269000,909122,
-1340,-2780,15800,-215,178,112,-17000,7000,269000,909124,
-1256,-2676,15932,-126,283,167,-17000,7000,269000,909126,
-1120,-2564,15728,-302,413,109,-17000,7000,269000,909139,
-1168,-2576,15696,-167,500,147,-17000,7000,269000,909141,
-1280,-2620,15668,-339,467,120,-17000,7000,269000,909144,
-1436,-2804,15644,-281,547,88,-17000,7000,269000,909156,
-1356,-2720,15564,-463,487,76,-17000,7000,269000,909159,
-1444,-2740,15668,-347,551,47,-17000,7000,269000,909161,
-1564,-2652,15768,-546,475,-6,-17000,7000,269000,909173,
-1392,-2708,15740,-524,489,-69,-17000,7000,269000,909176,
-1452,-2760,15628,-616,482,-3,-17000,7000,269000,909178,
-1696,-2764,15604,-709,229,-124,-17000,7000,269000,909191,
-1780,-2744,15708,-684,211,-146,-17000,7000,269000,909193,
-1864,-2748,15628,-711,147,-245,-17000,7000,269000,909195,
-1660,-2696,15820,-694,-31,-284,-17000,7000,269000,909208,
-1700,-2716,15920,-846,-80,-304,-17000,7000,269000,909210,
-1736,-2720,15836,-720,-58,-312,-17000,7000,269000,909212,
-1776,-2684,16128,-875,-100,-354,-17000,7000,269000,909225,
-1696,-2812,15992,-818,-69,-382,-17000,7000,268000,909227,
-1708,-2788,15960,-903,-77,-394,-17000,7000,268000,909229,
-1716,-2736,15988,-884,-39,-406,-17000,7000,268000,909242,
-1700,-2852,16184,-905,-2,-368,-17000,7000,268000,909244,
-1852,-2872,16264,-853,6,-430,-17000,7000,268000,909246,
-1932,-2872,16324,-769,161,-335,-17000,7000,268000,909259,
-1804,-2884,16452,-865,98,-346,-17000,7000,268000,909261,
-2056,-2896,16400,-769,172,-298,-17000,7000,268000,909264,
-1968,-3012,16372,-781,181,-227,-17000,7000,268000,909276,
-1836,-2948,16220,-601,238,-218,-17000,7000,268000,909278,
-1908,-2960,16568,-712,177,-237,-17000,7000,268000,909281,
-1788,-2908,16452,-545,243,-128,-17000,7000,268000,909293,
-2116,-2988,16416,-574,220,-100,-17000,7000,268000,909296,
-1948,-2956,16420,-515,295,-110,-17000,7000,268000,909298,
-1684,-2880,16532,-452,344,-20,-17000,7000,268000,909310,
-1720,-2908,16476,-468,311,-32,-17000,7000,268000,909313,
-1688,-2872,16556,-426,379,40,-17000,7000,268000,909315,
-1664,-2796,16328,-426,409,60,-17000,7000,268000,909327,
-1760,-2664,16244,-289,511,120,-17000,7000,268000,909330,
-1580,-2656,16380,-425,432,102,-17000,7000,268000,909332,
-1544,-2708,16264,-219,501,123,-17000,7000,268000,909345,
-1548,-2724,16068,-374,416,144,-17000,7000,268000,909347,
-1680,-2744,16064,-200,469,136,-17000,7000,268000,909349,
-1480,-2792,16128,-314,378,171,-17000,7000,268000,909362,
-1436,-2704,16124,-219,382,103,-17000,7000,268000,909364,
-1508,-2760,16136,-306,397,117,-17000,7000,268000,909367,
-1484,-2808,15888,-318,394,73,-17000,7000,268000,909379,
-1564,-2796,15860,-312,442,108,-17000,7000,268000,909381,
-1364,-2660,15888,-293,398,56,-17000,7000,268000,909384,
-1428,-2688,15784,-295,396,27,-17000,7000,268000,909396,
-1672,-2848,15636,-445,315,13,-17000,7000,268000,909398,
-1608,-2740,15848,-321,381,-22,-17000,7000,268000,909401,
-1540,-2748,15936,-516,335,-78,-17000,7000,268000,909413,
-1640,-2860,15732,-388,402,-56,-17000,7000,268000,909416,
-1764,-2884,15840,-549,280,-83,-17000,7000,268000,909418,
-1864,-2796,15844,-491,177,-179,-17000,7000,268000,909430,
-1936,-2776,16060,-560,155,-176,-17000,7000,268000,909433,
-1752,-2808,16064,-498,140,-201,-17000,7000,268000,909435,
-1812,-2752,15780,-599,12,-282,-17000,7000,268000,909448,
-1988,-2952,15996,-605,-25,-352,-17000,7000,268000,909450,
-1948,-2784,15844,-616,17,-333,-17000,7000,268000,909452,
-1796,-2816,15848,-721,-26,-371,-17000,7000,268000,909465,
-1644,-2776,15924,-625,48,-358,-17000,7000,268000,909467,
-1756,-2844,15940,-730,-4,-390,-17000,7000,268000,909469,
-1944,-2816,16096,-606,103,-334,-17000,7000,268000,909482,
-1940,-2664,15984,-759,61,-354,-17000,7000,268000,909484,
-1936,-2884,16088,-612,163,-328,-17000,7000,268000,909486,
-2016,-2808,16272,-729,106,-296,-17000,7000,268000,909499,
-2144,-2844,16288,-615,96,-328,-17000,7000,268000,909501,
-2184,-2768,16332,-708,77,-269,-17000,7000,268000,909504,
-2124,-2820,16520,-670,-74,-296,-17000,7000,268000,909516,
-2300,-2900,16600,-581,-66,-242,-17000,7000,268000,909519,
-2268,-2884,16484,-628,-105,-277,-17000,7000,268000,909521,
