Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
264,1448,16348,-566,65,-281,-2000,1000,231000,560031,
216,1532,16616,-437,239,-251,-2000,1000,231000,560043,
264,1496,16432,-598,198,-267,-2000,1000,231000,560045,
68,1568,16436,-467,289,-249,-2000,1000,231000,560048,
112,1544,16500,-585,268,-241,-2000,1000,231000,560060,
24,1488,16524,-500,287,-287,-2000,1000,231000,560062,
-36,1508,16444,-587,275,-250,-2000,1000,231000,560065,
136,1652,16432,-595,255,-261,-2000,1000,231000,560077,
188,1608,16436,-526,340,-217,-2000,1000,231000,560079,
112,1620,16348,-614,280,-258,-2000,1000,231000,560081,
-64,1532,16292,-500,319,-218,-2000,1000,231000,560094,
-16,1572,16420,-642,242,-246,-2000,1000,231000,560096,
-132,1484,16424,-510,266,-229,-2000,1000,231000,560098,
88,1612,16360,-625,161,-183,-2000,1000,231000,560111,
92,1712,16372,-590,120,-234,-2000,1000,231000,560113,
80,1624,16324,-648,121,-212,-2000,1000,231000,560115,
128,1608,16312,-564,108,-232,-2000,1000,23100096,-5688,
-296,-5688,15332,-331,142,-465,-27000,0,211000,563144,
-276,-5732,15360,-245,157,-495,-27000,0,211000,563146,
-244,-5732,15380,-296,156,-499,-27000,0,211000,563149,
-168,-5716,15180,-356,156,-4,-773,-20,-99,-2000,
36,1528,16124,-809,-34,-73,-2000,1000,231000,560253,
-104,1448,16024,-773,-20,-97,-2000,1000,231000,560255,
-144,1392,16288,-679,91,-94,-2000,1000,231000,560268,
-180,1376,16184,-765,20,-161,-2000,1000,231000,560270,
-128,1328,16088,-660,109,-124,-2000,1000,231000,560272,
20,1424,16232,-749,174,-139,-2000,1000,231000,560285,
28,1376,16332,-618,206,-137,-2000,1000,231000,560287,
-92,1500,16284,-754,195,-98,-2000,1000,231000,560289,
-32,1412,16240,-636,257,-140,-2000,1000,231000,560291,
-264,1408,16196,-724,193,-179,-2000,1000,231000,560304,
-248,1404,16124,-714,136,-194,-2000,1000,231000,560306,
-204,1420,16260,-713,164,-186,-2000,1000,231000,560308,
-216,1412,16000,-746,32,-207,-2000,1000,231000,560321,
36,1364,15920,-608,98,-181,-2000,1000,231000,560323,
-60,1312,15948,-713,5,-208,-2000,1000,231000,560325,
96,1408,16064,-621,-3,-192,-2000,1000,231000,560337,
-216,1296,16120,-699,-47,-164,-2000,1000,231000,560340,
-28,1336,16056,-571,-34,-163,-2000,1000,231000,560342,
-112,1340,16100,-582,4,-149,-2000,1000,231000,560354,
-76,1292,16056,-662,-34,-154,-2000,1000,231000,560356,
-108,1392,16368,-587,-60,-235,-2000,1000,231000,560445,
-16,1404,16360,-481,-11,-244,-2000,1000,231000,560447,
0,1428,16256,-563,-19,-221,-2000,1000,231000,560450,
-44,1480,16264,-502,-41,-263,-2000,1000,231000,560452,
-96,1504,16300,-495,65,-207,-2000,1000,231000,560465,
8,1432,16332,-616,6,-246,-2000,1000,231000,560467,
0,1504,16492,-541,83,-166,-2000,1000,231000,560469,
96,1560,16456,-623,99,-146,-2000,1000,231000,560482,
204,1540,16416,-480,162,-132,-2000,1000,231000,560484,
124,1412,16388,-608,82,-144,-2000,1000,231000,560486,
44,1492,16356,-491,151,-181,-2000,1000,231000,560488,
-96,1444,16252,-644,101,-188,-3000,1000,231000,560501,
-76,1444,16348,-560,128,-195,-3000,1000,231000,560503,
-72,1412,16304,-639,117,-170,-3000,1000,231000,560505,
56,1508,16516,-684,80,-217,-3000,1000,231000,560517,
120,1576,16488,-567,142,-169,-3000,1000,231000,560520,
-96,1504,16448,-670,69,-215,-3000,1000,231000,560522,
156,1632,16588,-593,235,-230,-3000,1000,231000,560534,
-56,1504,16756,-730,208,-172,-3000,1000,231000,560537,
-108,1484,16724,-589,280,-192,-3000,1000,231000,560539,
-116,1556,16720,-743,433,-197,-3000,1000,231000,560551,
-108,1560,16672,-704,470,-207,-3000,1000,231000,560553,
-16,1644,16744,-749,516,-176,-3000,1000,231000,560556,
-76,1688,16876,-899,603,-251,-3000,1000,231000,560568,
-116,1604,16912,-811,642,-240,-3000,1000,231000,560570,
-232,1728,16784,-963,582,-226,-3000,1000,231000,560573,
-368,1552,16604,-915,537,-254,-3000,1000,231000,560585,
-396,1448,16676,-1057,454,-212,-3000,1000,231000,560587,
-376,1452,16628,-921,505,-249,-3000,1000,231000,560590,
-360,1400,16596,-1037,282,-269,-3000,1000,231000,560602,
-424,1420,16528,-1028,220,-301,-3000,1000,231000,560604,
-320,1556,16548,-1055,236,-263,-3000,1000,231000,560606,
-372,1372,16652,-1095,49,-324,-3000,1000,231000,560619,
-432,1372,16400,-995,83,-278,-3000,1000,231000,560621,
-364,1416,16684,-1099,4,-320,-3000,1000,231000,560623,
-284,1428,16508,-999,8,-349,-3000,1000,230000,560636,
-88,1460,16472,-1114,-10,-345,-3000,1000,230000,560638,
-128,1444,16472,-988,15,-340,-3000,1000,230000,560640,
-244,1304,16376,-1021,21,-345,-3000,1000,230000,560653,
-188,1396,16304,-1094,30,-415,-3000,1000,230000,560655,
16,932,15892,-636,-28,-225,-3000,1000,230000,560863,
92,896,15908,-592,-76,-268,-3000,1000,230000,560865,
104,940,15920,-604,-36,-255,-3000,1000,230000,560868,
28,896,15916,-564,-21,-240,-3000,1000,230000,560870,
224,1004,16072,-478,35,-180,-3000,1000,230000,560883,
272,944,16084,-561,-60,-226,-3000,1000,230000,560885,
328,952,16104,-478,2,-200,-3000,1000,230000,560887,
272,984,16004,-561,11,-180,-3000,1000,230000,560899,
180,968,16104,-429,69,-141,-3000,1000,230000,560902,
260,1092,16028,-581,18,-179,-3000,1000,230000,560904,
144,936,15932,-423,81,-152,-3000,1000,230000,560906,
292,960,16140,-515,125,-90,-3000,1000,230000,560918,
348,860,15948,-490,121,-120,-3000,1000,230000,560921,
368,888,16020,-534,118,-79,-3000,1000,230000,560923,
96,872,15984,-510,124,-71,-3000,1000,230000,560935,
-8,824,16148,-410,210,-50,-3000,1000,230000,560938,
36,872,16280,-500,128,-62,-3000,1000,230000,560940,
48,1000,16220,-416,199,-15,-3000,1000,230000,560942,
96,988,16024,-499,97,-20,-3000,1000,230000,560955,
80,996,16108,-353,143,3,-3000,1000,230000,560957,
-132,960,16004,-459,90,1,-3000,1000,230000,560959,
-184,992,16356,-424,-67,-44,-3000,1000,230000,561001,
-112,1112,16252,-289,-13,-13,-3000,1000,230000,561003,
-32,1124,16252,-439,-55,-40,-3000,1000,230000,561005,
-116,1056,16264,-299,-27,-34,-3000,1000,230000,561007,
16,1148,16160,-395,-2,-32,-3000,1000,230000,561020,
-24,1092,16312,-331,2,-73,-3000,1000,230000,561022,
-80,1288,16144,-412,-38,-69,-3000,1000,230000,561024,
140,1152,16320,-411,-69,-73,-3000,1000,230000,561037,
40,1216,16320,-365,8,-24,-3000,1000,230000,561039,
124,1148,16204,-391,-13,-64,-3000,1000,230000,561041,
-72,1088,16436,-374,16,-39,-3000,1000,230000,561043,
-160,1148,16288,-420,33,-50,-3000,1000,230000,561056,
-152,1132,16452,-284,110,-52,-3000,1000,230000,561058,
88,1156,16328,-408,31,-70,-3000,1000,230000,561060,
-120,1240,16376,-304,148,-74,-3000,1000,230000,561073,
32,1276,16572,-409,92,-81,-3000,1000,230000,561075,
24,1328,16468,-322,130,-108,-3000,1000,230000,561077,
-124,1064,16452,-408,129,-31,-3000,1000,230000,561090,
-228,1144,16608,-447,85,-100,-3000,1000,230000,561092,
-236,1196,16464,-442,84,-82,-3000,1000,230000,561094,
-152,1212,16432,-533,12,-105,-3000,1000,230000,561106,
-132,1284,16428,-417,67,-54,-3000,1000,230000,561109,
36,1268,16464,-526,123,-152,-3000,1000,230000,561223,
80,1220,16428,-471,103,-174,-3000,1000,230000,561225,
120,1236,16508,-522,132,-162,-3000,1000,230000,561228,
-20,1204,16468,-502,155,-185,-3000,1000,230000,561230,
-12,1320,16536,-428,270,-152,-3000,1000,230000,561242,
76,1332,16348,-599,194,-161,-3000,1000,230000,561245,
72,1380,16380,-461,273,-170,-3000,1000,230000,561247,
-8,1380,16336,-597,209,-171,-3000,1000,230000,561259,
-48,1232,16340,-496,232,-177,-3000,1000,230000,561261,
-16,1160,16396,-616,155,-194,-3000,1000,230000,561264,
32,1272,16424,-611,112,-193,-3000,1000,230000,561276,
44,1304,16460,-587,136,-130,-3000,1000,230000,561278,
56,1232,16324,-615,90,-157,-3000,1000,230000,561281,
132,1372,16492,-602,125,-138,-3000,1000,230000,561283,
56,1260,16344,-658,64,-82,-3000,1000,230000,561295,
12,1168,16384,-554,111,-83,-3000,1000,230000,561297,
-56,1244,16528,-705,38,-99,-3000,1000,230000,561300,
112,1272,16484,-545,98,-75,-3000,1000,230000,561312,
128,1280,16348,-698,57,-36,-3000,1000,230000,561314,
144,1140,16396,-526,123,-64,-3000,1000,230000,561316,
76,1312,16344,-714,91,-34,-3000,1000,230000,561319,
116,1188,16480,-648,184,-37,-3000,1000,230000,561331,
-196,1136,16276,-634,102,-66,-3000,1000,230000,561399,
-288,1052,16140,-722,48,-51,-3000,1000,230000,561402,
-224,1116,16180,-663,74,-95,-3000,1000,230000,561404,
-120,1164,16340,-713,73,-68,-3000,1000,230000,561406,
32,1092,16144,-700,35,-123,-3000,1000,230000,561419,
76,1244,16332,-627,119,-77,-3000,1000,230000,561421,
-88,1272,16240,-702,30,-114,-3000,1000,230000,561423,
-144,1156,16284,-588,119,-99,-3000,1000,230000,561436,
-168,1100,16192,-700,96,-70,-3000,1000,230000,561438,
-128,1196,16232,-553,132,-102,-3000,1000,230000,561440,
-100,1244,16196,-620,95,-101,-3000,1000,230000,561452,
16,1156,16208,-622,78,-102,-3000,1000,230000,561455,
-128,1112,16272,-622,83,-62,-3000,1000,230000,561457,
-96,1180,16228,-635,98,-132,-3000,1000,230000,561459,
-184,1176,16156,-549,130,-56,-3000,1000,230000,561471,
-132,1176,16240,-681,60,-110,-3000,1000,230000,561474,
-24,1208,16148,-546,111,-54,-3000,1000,230000,561476,
56,1196,16224,-634,78,-33,-3000,1000,230000,561488,
-12,1200,16264,-566,83,-63,-3000,1000,230000,561490,
-32,1248,16188,-654,106,-45,-3000,1000,230000,561493,
48,1216,16252,-671,43,-45,-3000,1000,230000,561505,
-160,1116,16252,-548,140,-28,-3000,1000,230000,561507,
-108,924,16144,-407,98,-276,-3000,1000,229000,561664,
-228,1092,16264,-506,45,-256,-3000,1000,229000,561667,
-124,956,16248,-419,108,-258,-3000,1000,229000,561669,
-40,988,16296,-523,47,-263,-3000,1000,229000,561671,
88,1080,16180,-484,103,-262,-3000,1000,229000,561684,
44,1140,16384,-476,130,-251,-3000,1000,229000,561686,
-76,1128,16340,-466,118,-260,-3000,1000,229000,561688,
-108,1092,16408,-442,232,-183,-3000,1000,229000,561701,
-56,1156,16368,-541,168,-200,-3000,1000,229000,561703,
-164,1124,16368,-457,214,-180,-3000,1000,229000,561705,
-144,1112,16400,-554,209,-123,-3000,1000,229000,561718,
-124,1032,16408,-457,223,-141,-3000,1000,229000,561720,
-92,1088,16372,-576,162,-140,-3000,1000,229000,561722,
-276,1176,16316,-565,143,-179,-3000,1000,229000,561734,
-408,1008,16428,-503,209,-118,-3000,1000,229000,561737,
-204,1252,16536,-568,174,-192,-3000,1000,229000,561739,
-128,1144,16508,-471,210,-161,-3000,1000,229000,561751,
-96,1252,16564,-587,132,-198,-3000,1000,229000,561754,
-172,1160,16468,-473,223,-223,-3000,1000,229000,561756,
-472,1192,16624,-535,120,-222,-3000,1000,229000,561768,
-504,1196,16648,-553,107,-276,-3000,1000,229000,561771,
-480,1228,16792,-534,123,-288,-3000,1000,229000,561773,
-356,1352,16812,-609,44,-292,-3000,1000,229000,561785,
-172,1492,16932,-487,137,-284,-3000,1000,229000,561788,
-264,1380,16820,-618,99,-284,-3000,1000,229000,561790,
-516,1568,17472,-613,173,-290,-3000,1000,229000,561802,
-628,1604,17484,-601,249,-244,-3000,1000,229000,561805,
-568,1712,17452,-648,268,-307,-3000,1000,229000,561807,
-652,1792,18096,-718,553,-328,-3000,1000,229000,561819,
-528,1732,18276,-905,531,-312,-3000,1000,229000,561822,
-712,1728,18512,-795,650,-308,-3000,1000,229000,561824,
-1100,1732,19408,-1113,1054,-290,-3000,1000,229000,561836,
-1260,1652,19376,-1179,1142,-341,-3000,1000,229000,561839,
-1400,1772,19328,-1263,1212,-251,-3000,1000,229000,561841,
-1656,1888,20268,-1673,1369,-159,-4000,1000,229000,561853,
-1724,1900,20276,-1642,1448,-239,-4000,1000,229000,561856,
-1836,1980,20224,-1836,1350,-366,-4000,1000,229000,561858,
-2692,2044,20456,-2281,1502,-616,-4000,2000,229000,561870,
-2496,2012,20748,-2502,1964,-609,-4000,2000,229000,561873,
-2528,2100,20564,-2573,2468,-604,-4000,2000,229000,561875,
-3012,2140,21260,-2748,479,-541,-4000,2000,229000,561887,
-2376,2076,20808,-2953,580,-753,-4000,2000,229000,561890,
-2208,2080,20928,-2990,1004,-928,-4000,2000,229000,561892,
-2448,2160,21272,-3573,791,-1429,-4000,2000,229000,561904,
-2492,2216,21408,-3560,815,-1458,-4000,2000,229000,561906,
-2372,2164,21612,-3753,883,-1509,-4000,2000,229000,561909,
-1944,2128,21684,-4265,1349,-1734,-5000,2000,228000,561921,
-1860,2164,21848,-4310,1518,-1790,-5000,2000,228000,561923,
-2000,2128,21668,-4431,1584,-1885,-5000,2000,228000,561926,
-2156,2164,21428,-4880,2073,-2252,-5000,2000,228000,561938,
-2192,2108,21516,-5091,2063,-2319,-5000,2000,228000,561941,
-2256,2124,21392,-5068,2190,-2355,-6000,2000,228000,561943,
-2500,2052,21432,-5675,2315,-2607,-6000,3000,228000,561955,
-2468,2044,21232,-5805,2295,-2692,-6000,3000,228000,561958,
-2524,1916,21140,-5914,2293,-2705,-6000,3000,228000,561960,
-2716,1844,20624,-6450,2001,-3050,-7000,3000,227000,561973,
-2812,1720,20460,-6404,2011,-3108,-7000,3000,227000,561975,
-2652,1772,20456,-6593,1905,-3152,-7000,3000,227000,561977,
-2680,1632,19948,-6939,1612,-3390,-8000,3000,227000,561990,
-2636,1556,20072,-6987,1527,-3418,-8000,3000,227000,561992,
-2688,1588,20044,-7056,1488,-3547,-8000,3000,227000,561994,
-2332,1456,19644,-7355,1174,-3759,-8000,3000,226000,562007,
-2268,1420,19660,-7513,1071,-3780,-9000,3000,226000,562009,
-2096,1352,19376,-7458,1070,-3796,-9000,3000,226000,562011,
-1928,1328,18888,-7831,908,-3858,-9000,3000,226000,562024,
-1892,1220,18636,-7927,867,-3955,-10000,3000,226000,562026,
-1924,1192,18620,-7972,884,-3954,-10000,3000,226000,562029,
-1664,856,18028,-8335,772,-4078,-10000,3000,225000,562041,
-1456,836,17752,-8265,814,-4079,-11000,3000,225000,562043,
-1588,736,17856,-8388,730,-4021,-11000,3000,225000,562045,
-1528,400,16856,-8540,443,-3963,-11000,3000,225000,562058,
-1512,384,16768,-8537,319,-3917,-12000,3000,225000,562060,
-1632,360,16756,-8595,225,-3985,-12000,3000,225000,562063,
-1352,28,15704,-8558,-317,-3992,-12000,3000,224000,562075,
-1320,-76,15664,-8718,-526,-4058,-13000,3000,224000,562077,
-1236,-240,15620,-8558,-600,-4048,-13000,3000,224000,562080,
-1080,-664,15060,-8515,-1236,-4065,-14000,3000,224000,562092,
-1104,-776,15048,-8395,-1295,-4125,-14000,3000,224000,562095,
-920,-748,15152,-8421,-1411,-4089,-14000,3000,224000,562097,
-296,-1000,14668,-8277,-1738,-4277,-15000,2000,223000,562109,
-232,-972,14724,-8181,-1698,-4256,-15000,2000,223000,562112,
-336,-1028,14400,-8238,-1778,-4281,-15000,2000,223000,562114,
272,-1496,14276,-8004,-1657,-4302,-16000,2000,223000,562127,
168,-1712,14236,-8007,-1617,-4220,-16000,2000,223000,562129,
492,-1788,14216,-7937,-1577,-4252,-16000,2000,223000,562131,
876,-2292,14108,-7609,-895,-4068,-17000,2000,222000,562144,
784,-2208,14136,-7685,-839,-4110,-17000,2000,222000,562146,
664,-2348,14072,-7484,-679,-4082,-17000,2000,222000,562149,
836,-2612,13792,-7315,-194,-4061,-17000,1000,222000,562161,
888,-2660,13772,-7283,-69,-4050,-18000,1000,222000,562163,
880,-2744,13692,-7240,7,-3990,-18000,1000,222000,562166,
564,-2976,13620,-6985,369,-3928,-18000,1000,221000,562178,
440,-3096,13596,-6792,493,-3885,-18000,1000,221000,562180,
396,-3108,13552,-6864,492,-3914,-19000,1000,221000,562183,
260,-3328,13684,-6554,638,-3968,-19000,1000,221000,562195,
244,-3392,13792,-6580,609,-3913,-19000,1000,221000,562197,
372,-3304,13668,-6480,602,-3962,-19000,1000,221000,562200,
-60,-3544,13632,-6341,314,-3933,-20000,1000,220000,562212,
-164,-3644,13648,-6404,190,-3987,-20000,1000,220000,562214,
-192,-3720,13624,-6281,190,-3909,-20000,1000,220000,562217,
-56,-3976,13696,-6170,-142,-3826,-21000,1000,220000,562229,
4,-3928,13584,-5994,-136,-3833,-21000,1000,220000,562231,
-4,-4032,13672,-6097,-272,-3792,-21000,1000,220000,562234,
52,-4348,13576,-5878,-571,-3754,-21000,1000,220000,562246,
36,-4388,13720,-5843,-571,-3643,-22000,1000,219000,562248,
20,-4464,13604,-5828,-661,-3700,-22000,1000,219000,562251,
392,-4752,13808,-5467,-680,-3511,-22000,0,219000,562263,
412,-4680,13636,-5590,-743,-3545,-22000,0,219000,562265,
568,-4672,13652,-5380,-651,-3530,-22000,0,219000,562268,
904,-4760,13688,-5188,-446,-3497,-23000,0,219000,562280,
812,-4656,13684,-5175,-373,-3535,-23000,0,219000,562282,
-20,-5816,15512,-324,-360,-261,-27000,0,210000,563272,
72,-5612,15456,-169,-133,-268,-27000,0,210000,563284,
72,-5700,15464,-252,-101,-269,-27000,0,210000,563287,
-36,-5724,15648,-153,-61,-287,-27000,0,210000,563289,
-144,-5636,15472,-264,-56,-270,-27000,0,210000,563291,
-64,-5612,15396,-274,83,-316,-27000,0,210000,563304,
20,-5632,15448,-160,166,-286,-27000,0,210000,563306,
-44,-5604,15584,-272,119,-346,-27000,0,210000,563308,
-132,-5576,15512,-125,219,-319,-27000,0,210000,563320,
-236,-5728,15492,-256,176,-352,-27000,0,210000,563323,
-268,-5780,15560,-147,237,-351,-27000,0,210000,563325,
-200,-5684,15660,-213,160,-357,-27000,0,210000,563337,
-72,-5516,15628,-211,119,-401,-27000,0,210000,563340,
40,-5584,15652,-206,157,-372,-27000,0,210000,563342,
-16,-5708,15612,-206,97,-429,-27000,0,210000,563344,
-216,-5620,15428,-132,208,-386,-27000,0,210000,563357,
-84,-5656,15540,-279,163,-385,-27000,0,210000,563359,
-224,-5588,15512,-166,158,-380,-27000,0,210000,563361,
60,-5552,15536,-232,103,-369,-27000,0,210000,563374,
-40,-5592,15492,-273,103,-374,-27000,0,210000,563376,
-72,-5556,15464,-248,120,-323,-27000,0,210000,563378,
-132,-5632,15612,-268,31,-336,-27000,0,210000,563391,
-196,-5604,15664,-180,51,-318,-27000,0,210000,563393,
-108,-5512,15604,-277,-18,-387,-27000,0,210000,563395,
-84,-5624,15692,-161,26,-323,-27000,0,210000,563397,
68,-5460,15424,-320,-54,-337,-27000,0,210000,563410,
0,-5432,15700,-180,-27,-334,-27000,0,210000,563412,
-60,-5372,15552,-329,-53,-357,-27000,0,210000,563414,
-32,-5552,15528,-302,-74,-345,-27000,0,210000,563427,
24,-5644,15500,-259,-21,-292,-27000,0,210000,563429,
28,-5548,15428,-282,-59,-319,-27000,0,210000,563431,
196,-5652,15464,-303,-69,-288,-27000,0,210000,563434,
240,-5612,15488,-315,-135,-346,-27000,0,210000,563446,
92,-5664,15572,-186,-49,-305,-27000,0,210000,563448,
124,-5748,15448,-308,-154,-368,-27000,0,210000,563450,
192,-5748,15632,-159,-179,-341,-27000,0,210000,563463,
332,-5760,15680,-273,-202,-294,-27000,0,210000,563465,
328,-5704,15676,-160,-199,-330,-27000,0,210000,563467,
572,-5776,15752,-164,-413,-292,-27000,0,210000,563480,
664,-5748,15732,-240,-445,-341,-27000,0,210000,563482,
604,-5684,15844,-224,-471,-340,-27000,0,210000,563485,
964,-5880,16228,-284,-441,-415,-27000,0,210000,563497,
1176,-5900,16312,-122,-407,-475,-27000,0,210000,563499,
1380,-6020,16248,-245,-491,-585,-27000,0,210000,563502,
1148,-6336,16732,-276,-14,-632,-27000,0,210000,563514,
1196,-6396,16928,-237,-18,-520,-27000,0,210000,563516,
1132,-6464,17136,-217,-11,-562,-27000,0,210000,563519,
1616,-6620,17704,-221,-179,-647,-27000,0,210000,563531,
1768,-6408,18100,-385,-284,-693,-27000,0,210000,563533,
1744,-6420,18100,-318,-242,-694,-27000,0,210000,563536,
1900,-6408,18296,-875,-295,-447,-27000,0,210000,563548,
1952,-6476,18216,-920,-317,-430,-27000,0,210000,563550,
1904,-6508,18284,-1043,-400,-372,-27000,0,210000,563553,
2304,-6508,18316,-1415,-1396,-179,-27000,-1000,210000,563565,
2560,-6596,18340,-1369,-1574,-107,-27000,-1000,210000,563568,
2616,-6552,18320,-1554,-1939,-42,-27000,-1000,210000,563570,
