Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
-1692,1456,16376,-474,199,70,0,9000,129000,426736,
-1668,1488,16400,-444,167,90,0,9000,129000,426739,
-1724,1512,16400,-491,207,86,0,9000,129000,426741,
-1668,1512,16412,-461,306,76,0,9000,129000,426754,
-1752,1524,16284,-486,284,91,0,9000,129000,426756,
-1716,1512,16436,-452,325,50,0,9000,129000,426759,
-1724,1468,16468,-494,291,78,0,9000,129000,426761,
-1856,1424,16280,-473,303,50,0,9000,129000,426774,
-1832,1384,16420,-452,234,67,0,9000,129000,426776,
-1744,1524,16460,-501,248,70,0,9000,129000,426778,
-1832,1528,16436,-481,251,33,0,9000,129000,426781,
-1888,1424,16420,-511,73,50,0,9000,129000,426793,
-1804,1492,16400,-524,53,48,0,9000,129000,426796,
-1880,1488,16440,-472,1,53,0,9000,129000,426798,
-1956,1500,16444,-531,19,53,0,9000,129000,426801,
-1816,1448,16408,-512,-43,33,0,9000,129000,426813,
-1916,1460,16536,-526,-66,55,0,9000,129000,426816,
-1856,1596,16460,-489,-8,61,0,9000,129000,426818,
-1824,1572,16500,-469,-31,90,0,9000,129000,426820,
-1736,1584,16476,-469,24,116,0,9000,129000,426833,
-1764,1488,16424,-473,-11,140,0,9000,129000,426835,
-1800,1456,16564,-512,69,121,0,9000,129000,426838,
-1780,1560,16560,-437,22,144,0,9000,129000,426840,
-1760,1552,16508,-500,130,149,0,9000,129000,426853,
-1792,1516,16416,-455,90,118,0,9000,129000,426855,
-1752,1604,16456,-479,102,160,0,9000,129000,426858,
-1624,1484,16456,-508,167,126,0,9000,129000,426860,
-1680,1628,16456,-507,130,116,0,9000,129000,426873,
-1748,1628,16372,-498,149,102,0,9000,129000,426875,
-1696,1476,16228,-472,100,108,0,9000,129000,426878,
-1764,1592,16300,-496,110,76,0,9000,129000,426880,
-1680,1528,16368,-530,65,97,0,9000,129000,426893,
-1644,1504,16228,-561,49,77,0,9000,129000,426895,
-1620,1444,16452,-542,97,60,0,9000,129000,426897,
-1700,1504,16400,-518,79,71,0,9000,129000,426900,
-1656,1528,16468,-533,120,26,0,9000,129000,426912,
-1684,1444,16436,-535,110,88,0,9000,129000,426915,
-1676,1444,16444,-561,134,67,0,9000,129000,426917,
-1752,1428,16348,-533,164,63,0,9000,129000,426920,
-1716,1444,16448,-549,223,55,0,9000,129000,426932,
-1692,1480,16492,-497,196,42,0,9000,129000,426935,
-1704,1488,16416,-525,200,55,0,9000,129000,426937,
-1768,1328,16480,-544,174,48,0,9000,129000,426939,
-1792,1348,16408,-539,175,45,0,9000,129000,426952,
-1744,1412,16392,-540,176,37,0,9000,129000,426954,
-1848,1344,16344,-516,156,-2,0,9000,129000,426957,
-1736,1396,16336,-559,153,15,0,9000,129000,426959,
-1916,1408,16432,-529,164,52,0,9000,129000,426972,
-2012,1404,16420,-576,122,65,0,9000,129000,426974,
-1940,1372,16520,-547,156,53,0,9000,129000,426977,
-1840,1372,16536,-497,123,45,0,9000,129000,426979,
-1860,1512,16428,-529,106,9,0,9000,129000,426992,
-1888,1484,16592,-517,24,42,0,9000,129000,426994,
-1932,1468,16572,-554,27,83,0,9000,129000,426996,
-1836,1532,16624,-564,52,49,0,9000,129000,426999,
-1784,1492,16336,-570,-32,97,-1000,9000,129000,427012,
-1764,1584,16416,-552,-12,113,-1000,9000,129000,427014,
-1884,1544,16468,-519,-49,105,-1000,9000,129000,427016,
-1768,1488,16300,-581,-42,136,-1000,9000,129000,427019,
-1780,1580,16244,-580,-34,107,-1000,9000,129000,427031,
-1704,1644,16380,-594,-30,137,-1000,9000,129000,427034,
-1676,1600,16252,-585,-12,121,-1000,9000,129000,427036,
-1596,1652,16332,-601,-7,122,-1000,9000,129000,427049,
-1756,1640,16384,-589,58,102,-1000,9000,129000,427051,
-1636,1628,16444,-551,-4,95,-1000,9000,129000,427054,
-1700,1604,16272,-607,33,47,-1000,9000,129000,427066,
-1604,1500,16252,-592,18,77,-1000,9000,129000,427069,
-1628,1584,16208,-614,-30,70,-1000,9000,129000,427071,
-1680,1560,16196,-603,10,61,-1000,9000,129000,427073,
-1552,1432,16568,-580,-45,61,-1000,9000,129000,427090,
-1716,1412,16524,-601,-4,80,-1000,9000,129000,427092,
-1608,1388,16452,-605,41,55,-1000,9000,129000,427095,
-1580,1348,16688,-576,28,96,-1000,9000,129000,427107,
-1588,1348,16476,-603,77,66,-1000,9000,129000,427110,
-1592,1412,16600,-536,-13,111,-1000,9000,129000,427112,
-1680,1356,16500,-614,24,105,-1000,9000,129000,427114,
-1668,1260,16700,-517,2,60,-1000,9000,129000,427127,
-1696,1300,16464,-567,18,73,-1000,9000,129000,427129,
-1708,1372,16628,-519,52,46,-1000,9000,129000,427132,
-1696,1348,16548,-539,3,68,-1000,9000,129000,427145,
-1636,1232,16756,-482,20,-6,-1000,9000,129000,427147,
-1628,1212,16632,-430,8,50,-1000,9000,129000,427149,
-1592,1268,16608,-490,25,42,-1000,9000,129000,427152,
-1560,1196,16576,-430,122,37,-1000,9000,129000,427164,
-1688,1264,16516,-436,128,24,-1000,9000,129000,427167,
-1536,1332,16676,-394,218,7,-1000,9000,129000,427169,
-1464,1300,16496,-398,241,71,-1000,9000,129000,427182,
-1500,1356,16556,-332,289,1,-1000,9000,129000,427184,
-1536,1352,16672,-393,277,23,-1000,9000,129000,427186,
-1492,1416,16612,-379,290,38,-1000,9000,129000,427189,
-1596,1492,16576,-355,264,36,-1000,9000,129000,427202,
-1588,1288,16420,-364,290,36,-1000,9000,129000,427204,
-1596,1456,16460,-328,293,8,-1000,9000,129000,427206,
-1644,1444,16408,-384,298,16,-1000,9000,129000,427219,
-1700,1508,16304,-328,260,-6,-1000,9000,129000,427221,
-1568,1412,16620,-371,279,12,-1000,9000,129000,427224,
-1600,1500,16276,-380,297,-14,-1000,9000,129000,427226,
-1636,1556,16228,-408,314,21,-1000,9000,129000,427239,
-1700,1576,16376,-391,328,19,-1000,9000,129000,427241,
-1720,1516,16352,-365,314,11,-1000,9000,129000,427244,
-1728,1484,16276,-412,324,11,-1000,9000,129000,427256,
-1624,1468,16340,-396,285,20,-1000,9000,129000,427259,
-1840,1420,16420,-423,301,35,-1000,9000,129000,427261,
-1832,1420,16296,-399,310,5,-1000,9000,129000,427263,
-1880,1408,16328,-447,119,15,-1000,9000,129000,427276,
-1824,1584,16520,-449,134,9,-1000,9000,129000,427279,
-1792,1488,16308,-453,69,43,-1000,9000,129000,427281,
-1684,1528,16208,-497,-11,12,-1000,9000,129000,427294,
-1776,1532,16368,-488,-43,61,-1000,9000,129000,427296,
-1860,1440,16336,-521,-10,-11,-1000,9000,129000,427298,
-1788,1472,16416,-484,-19,34,-1000,9000,129000,427301,
-1748,1568,16420,-520,84,38,-1000,9000,129000,427313,
-1772,1472,16424,-466,65,47,-1000,9000,129000,427316,
-1560,1416,16312,-536,89,51,-1000,9000,129000,427318,
-1724,1512,16320,-501,199,75,-1000,9000,129000,427331,
-1752,1600,16276,-533,214,61,-1000,9000,129000,427333,
-1760,1400,16508,-521,244,37,-1000,9000,129000,427336,
-1684,1564,16396,-498,203,70,-1000,9000,129000,427338,
-1824,1488,16348,-489,156,56,-1000,9000,129000,427351,
-1712,1388,16236,-504,83,38,-1000,9000,129000,427353,
-1796,1576,16460,-547,49,48,-1000,9000,129000,427355,
-1700,1456,16484,-527,-86,28,-1000,9000,129000,427368,
-1596,1524,16420,-583,-77,19,-1000,9000,129000,427370,
-1836,1432,16252,-559,-93,1,-1000,9000,129000,427373,
-1824,1392,16464,-583,-134,29,-1000,9000,129000,427375,
-1732,1520,16444,-579,-119,-6,-1000,8000,129000,427388,
-1628,1456,16512,-599,-107,0,-1000,8000,129000,427390,
-1692,1492,16448,-574,-108,6,-1000,8000,129000,427392,
-1664,1444,16556,-558,37,39,-1000,8000,129000,427409,
-1624,1456,16548,-549,-15,41,-1000,8000,129000,427411,
-1520,1508,16472,-568,8,27,-1000,8000,129000,427414,
-1600,1404,16616,-548,53,20,-1000,8000,129000,427416,
-1776,1424,16596,-556,-35,63,-1000,8000,129000,427429,
-1748,1400,16652,-555,-6,19,-1000,8000,129000,427431,
-1644,1360,16420,-567,-84,48,-1000,8000,129000,427433,
-1596,1404,16580,-532,-46,5,-1000,8000,129000,427446,
-1576,1384,16412,-549,-58,46,-1000,8000,129000,427448,
-1528,1428,16632,-541,-51,-4,-1000,8000,129000,427451,
-1524,1368,16588,-526,-30,3,-1000,8000,129000,427453,
-1448,1360,16552,-525,109,44,-1000,8000,129000,427466,
-1416,1296,16524,-466,128,24,-1000,8000,129000,427468,
-1512,1268,16536,-493,165,27,-1000,8000,129000,427471,
-1592,1436,16476,-482,295,79,-1000,8000,129000,427483,
-1604,1332,16488,-477,295,73,-1000,8000,129000,427486,
-1540,1316,16632,-419,313,52,-1000,8000,129000,427488,
-1592,1388,16376,-455,283,74,-1000,8000,129000,427490,
-1660,1376,16476,-445,198,33,-1000,8000,129000,427503,
-1560,1432,16580,-483,199,39,-1000,8000,129000,427506,
-1664,1448,16444,-481,176,24,-1000,8000,129000,427508,
-1540,1380,16552,-462,101,-7,-1000,8000,129000,427521,
-1536,1372,16580,-488,110,28,-1000,8000,129000,427523,
-1668,1372,16496,-430,96,21,-1000,8000,129000,427525,
-1632,1364,16620,-472,101,33,-1000,8000,129000,427528,
-1492,1332,16556,-416,204,26,-1000,8000,129000,427540,
-1668,1484,16500,-454,223,23,-1000,8000,129000,427543,
-1572,1476,16380,-419,289,29,-1000,8000,129000,427545,
-1592,1372,16492,-431,313,39,-1000,8000,129000,427558,
-1664,1476,16500,-423,369,38,-1000,8000,129000,427560,
-1680,1480,16272,-396,283,43,-1000,8000,129000,427563,
-1780,1328,16428,-434,324,68,-1000,8000,129000,427565,
-1784,1492,16500,-439,273,68,-1000,8000,129000,427578,
-1752,1404,16284,-440,287,69,-1000,8000,129000,427580,
-1776,1444,16472,-427,263,44,-1000,8000,129000,427583,
-1744,1408,16460,-448,179,51,-1000,8000,129000,427595,
-1712,1404,16448,-435,136,89,-1000,8000,129000,427598,
-1784,1504,16372,-456,129,88,-1000,8000,129000,427600,
-1688,1360,16364,-434,176,56,-1000,8000,129000,427602,
-1856,1404,16488,-459,88,77,-1000,8000,129000,427615,
-1704,1360,16388,-462,131,48,-1000,8000,129000,427618,
-1804,1484,16512,-434,74,93,-1000,8000,129000,427620,
-1676,1396,16464,-448,90,51,-1000,8000,129000,427633,
-1720,1460,16416,-449,57,74,-1000,8000,129000,427635,
-1760,1396,16412,-470,70,106,-1000,8000,129000,427637,
-1776,1456,16564,-439,109,72,-1000,8000,129000,427640,
-1700,1536,16304,-474,59,117,-1000,8000,129000,427652,
-1684,1384,16548,-449,17,97,-1000,8000,129000,427655,
-1508,1284,16516,-463,3,125,-1000,8000,129000,427657,
-1572,1452,16492,-456,-41,75,-1000,8000,129000,427670,
-1552,1448,16452,-474,-37,125,-1000,8000,129000,427672,
-1556,1344,16576,-484,14,142,-1000,8000,129000,427675,
-1496,1508,16436,-457,16,125,-1000,8000,129000,427677,
-1428,1540,16444,-457,67,99,-1000,8000,129000,427690,
-1540,1396,16544,-422,57,126,-1000,8000,129000,427692,
-1496,1544,16496,-449,73,115,-1000,8000,129000,427695,
-1376,1456,16360,-414,172,103,-1000,8000,129000,427707,
-1400,1432,16348,-467,207,106,-1000,8000,129000,427710,
-1392,1400,16344,-416,264,79,-1000,8000,129000,427712,
-1408,1428,16424,-426,241,81,-1000,8000,129000,427714,
-1500,1432,16492,-422,326,43,-1000,8000,129000,427727,
-1464,1384,16392,-418,332,82,-1000,8000,129000,427729,
-1612,1528,16300,-423,326,55,-1000,8000,129000,427732,
-1708,1472,16464,-418,260,62,-1000,8000,129000,427744,
-1560,1352,16500,-432,240,27,-1000,8000,129000,427747,
