Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
-288,5648,15860,-817,392,-288,12000,5000,42000,605462,
-420,5584,15896,-819,303,-261,12000,5000,42000,605465,
-488,5624,15852,-831,286,-262,12000,5000,42000,605467,
-340,5536,15940,-761,179,-219,12000,5000,42000,605480,
-248,5492,15836,-710,220,-215,12000,5000,42000,605482,
-184,5456,15888,-690,248,-205,12000,5000,42000,605484,
-56,5616,16000,-686,480,-145,12000,5000,42000,605497,
-36,5612,15872,-613,515,-158,12000,5000,42000,605499,
-168,5620,16088,-622,595,-168,12000,5000,42000,605502,
-52,5556,15848,-625,663,-141,12000,5000,42000,605504,
-304,5596,16084,-562,822,-55,12000,5000,42000,605517,
-308,5688,15940,-602,855,-117,12000,5000,42000,605519,
-372,5652,15952,-540,802,-68,12000,5000,42000,605522,
-656,5628,16004,-547,639,-139,12000,5000,42000,605534,
-572,5524,15912,-544,517,-124,12000,6000,42000,605537,
-528,5640,15864,-549,497,-156,12000,6000,42000,605539,
-620,5548,15840,-550,448,-158,12000,6000,42000,605542,
-576,5456,15796,-582,278,-179,12000,6000,42000,605554,
-304,5508,15588,-525,261,-141,12000,6000,42000,605557,
-368,5536,15472,-582,221,-147,12000,6000,42000,605559,
-212,5492,15820,-539,266,-158,12000,6000,42000,605572,
-328,5452,15816,-577,252,-149,12000,6000,42000,605574,
-428,5580,15940,-591,285,-121,12000,6000,42000,605577,
-332,5536,15876,-574,287,-171,12000,6000,42000,605579,
-500,5508,15820,-567,251,-95,12000,6000,42000,605592,
-608,5432,15776,-537,171,-67,12000,6000,42000,605594,
-540,5448,15852,-586,96,-57,12000,6000,42000,605596,
-428,5412,15636,-580,114,52,12000,5000,42000,605613,
-384,5460,15644,-539,134,60,12000,5000,42000,605615,
-324,5348,15712,-556,134,79,12000,5000,42000,605618,
-336,5484,15680,-593,168,107,12000,5000,42000,605620,
-268,5476,15692,-589,323,187,12000,5000,42000,605633,
-332,5464,15664,-607,369,193,12000,5000,42000,605635,
-272,5552,15648,-604,376,197,12000,5000,42000,605638,
-444,5444,15664,-679,277,245,12000,5000,42000,605650,
-520,5572,15664,-636,228,247,12000,5000,42000,605653,
-572,5560,15600,-711,164,256,12000,5000,42000,605655,
-500,5544,15592,-726,161,272,12000,5000,42000,605658,
-500,5392,15548,-758,-143,328,12000,5000,42000,605670,
-352,5376,15616,-805,-146,340,12000,5000,42000,605673,
-488,5404,15544,-764,-234,331,12000,5000,42000,605675,
-172,5324,15404,-816,-294,392,12000,5000,42000,605688,
-128,5264,15416,-768,-344,379,12000,5000,42000,605690,
-216,5348,15584,-814,-323,427,12000,5000,42000,605693,
-108,5408,15596,-841,-332,389,12000,5000,42000,605695,
76,5372,15648,-821,-272,462,12000,5000,42000,605708,
96,5332,15696,-853,-249,443,12000,5000,42000,605710,
-24,5420,15880,-783,-187,441,12000,5000,42000,605712,
88,5536,15688,-826,24,424,12000,5000,42000,605725,
284,5428,15696,-805,72,391,12000,5000,42000,605727,
184,5444,15800,-819,132,405,12000,5000,42000,605730,
188,5488,15872,-840,152,390,12000,5000,42000,605732,
0,5616,15732,-816,253,352,12000,5000,42000,605745,
84,5508,15716,-803,256,333,12000,5000,42000,605747,
112,5588,15792,-803,221,306,12000,5000,42000,605750,
4,5564,15764,-830,198,310,12000,5000,42000,605752,
-80,5444,15588,-814,78,305,11000,5000,42000,605765,
24,5384,15740,-847,42,294,11000,5000,42000,605767,
-40,5268,15768,-827,49,272,11000,5000,42000,605770,
-88,5340,15584,-822,-13,313,11000,5000,42000,605772,
76,5316,15892,-816,48,286,11000,5000,42000,605785,
100,5232,15912,-803,19,324,11000,5000,42000,605787,
116,5280,15896,-808,76,331,11000,5000,42000,605790,
160,5312,15920,-832,98,303,11000,5000,42000,605792,
300,5372,15980,-743,337,350,11000,5000,42000,605805,
204,5528,16024,-690,401,296,11000,5000,42000,605807,
132,5568,15792,-706,432,313,11000,5000,42000,605809,
52,5344,15948,-621,648,257,11000,5000,42000,605822,
20,5436,15936,-578,629,253,11000,5000,42000,605825,
-12,5348,15780,-615,636,289,11000,5000,42000,605827,
-56,5392,15968,-583,654,257,11000,5000,43000,605829,
28,5372,15736,-588,610,297,11000,5000,43000,605842,
-164,5316,15832,-556,574,274,11000,5000,43000,605844,
-108,5372,15860,-578,575,314,11000,5000,43000,605847,
-8,5356,15832,-583,569,285,11000,5000,43000,605849,
-240,5296,15980,-599,469,282,11000,5000,43000,605862,
-248,5308,15848,-591,486,269,11000,5000,43000,605864,
-116,5352,15684,-620,410,332,11000,5000,43000,605867,
-192,5360,15796,-594,407,315,11000,5000,43000,605879,
-156,5404,15800,-646,426,332,11000,5000,43000,605882,
-96,5376,15732,-654,438,316,11000,5000,43000,605884,
-184,5416,15784,-591,423,327,11000,5000,43000,605886,
-76,5360,15780,-659,414,315,11000,5000,43000,605899,
-232,5452,15888,-619,378,323,11000,5000,43000,605902,
-76,5456,15836,-635,365,349,11000,5000,43000,605904,
-188,5328,15904,-646,303,385,11000,5000,43000,605917,
-192,5316,15904,-648,282,353,11000,5000,43000,605919,
-196,5344,15900,-638,286,329,11000,5000,43000,605921,
