Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
-64,380,16484,-646,919,-268,-5000,3000,185000,69592,
-344,360,16492,-698,746,-179,-5000,3000,185000,69604,
-184,440,16496,-697,766,-191,-5000,3000,185000,69607,
-344,388,16536,-668,667,-169,-5000,3000,185000,69609,
-212,332,16360,-722,669,-169,-5000,3000,185000,69611,
-328,392,16464,-745,446,-130,-5000,3000,185000,69624,
-348,324,16332,-782,395,-94,-5000,3000,185000,69626,
-312,288,16300,-813,395,-119,-5000,3000,185000,69629,
-308,388,16328,-898,82,-58,-5000,3000,185000,69641,
-240,308,16488,-883,65,-106,-5000,3000,185000,69644,
-368,352,16484,-896,-37,-74,-5000,3000,185000,69646,
-228,404,16700,-935,-51,-46,-5000,3000,185000,69648,
-8,524,16724,-938,8,-38,-5000,3000,185000,69661,
56,468,16548,-969,78,-39,-5000,3000,185000,69663,
96,480,16648,-917,116,-94,-5000,3000,185000,69666,
60,368,16588,-908,127,-81,-5000,3000,185000,69668,
20,264,16532,-757,380,-148,-5000,3000,185000,69681,
96,320,16540,-833,436,-130,-5000,3000,185000,69683,
-8,228,16444,-839,518,-143,-5000,3000,185000,69686,
108,264,16348,-782,533,-154,-5000,3000,185000,69688,
-8,384,16616,-821,651,-109,-5000,3000,185000,69701,
-12,404,16692,-786,626,-91,-5000,3000,185000,69703,
-132,356,16588,-824,641,-61,-5000,3000,185000,69705,
-188,652,16764,-836,810,-38,-5000,3000,185000,69721,
-124,564,16932,-819,816,-38,-5000,3000,185000,69724,
-32,616,16744,-843,810,-36,-6000,3000,185000,69726,
-124,564,16596,-876,823,-69,-6000,3000,185000,69729,
-344,416,16676,-844,782,-151,-6000,3000,185000,69741,
-272,328,16604,-848,801,-136,-6000,3000,185000,69744,
-296,452,16568,-790,731,-166,-6000,3000,185000,69746,
-348,344,16716,-814,693,-119,-6000,3000,185000,69759,
-280,448,16940,-811,642,-74,-6000,3000,185000,69761,
-352,432,16868,-827,654,-104,-6000,3000,185000,69763,
-396,412,16912,-810,712,-91,-6000,3000,185000,69766,
-340,528,16720,-834,740,-63,-6000,3000,185000,69778,
-304,608,16704,-769,773,-106,-6000,4000,185000,69781,
-328,556,16744,-785,758,-76,-6000,4000,185000,69783,
-332,416,16600,-712,840,-130,-6000,4000,185000,69796,
-520,340,16716,-750,846,-135,-6000,4000,185000,69798,
-404,312,16724,-757,866,-139,-6000,4000,185000,69801,
-320,324,16704,-703,880,-148,-6000,4000,185000,69803,
-376,288,16588,-711,899,-133,-6000,4000,185000,69816,
-336,336,16744,-722,885,-138,-6000,4000,185000,69818,
-484,292,16564,-743,873,-115,-6000,4000,185000,69820,
-540,264,16968,-694,852,-49,-6000,4000,185000,69833,
-592,188,17012,-649,846,-32,-6000,4000,185000,69835,
-628,204,16860,-695,882,-39,-6000,4000,185000,69838,
-500,128,16984,-617,825,-65,-6000,4000,185000,69840,
-648,20,16968,-550,769,-51,-6000,4000,185000,69853,
-696,56,17096,-593,738,-32,-6000,4000,185000,69855,
-560,12,17088,-586,746,11,-6000,4000,185000,69857,
-724,112,17216,-556,690,-11,-6000,4000,185000,69860,
-700,132,17012,-566,509,86,-6000,4000,185000,69872,
-728,184,16992,-537,481,88,-6000,4000,185000,69875,
-784,128,16856,-547,427,130,-6000,4000,185000,69877,
