Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
48,652,16384,-657,145,31,-4000,2000,260000,253759,
12,764,16376,-701,79,31,-4000,2000,260000,253761,
88,832,16472,-735,-155,-44,-4000,2000,260000,253774,
148,876,16500,-786,-158,-38,-4000,2000,260000,253776,
200,884,16628,-817,-184,-82,-4000,2000,260000,253779,
304,944,16472,-790,-175,-95,-4000,2000,260000,253781,
444,884,16704,-833,-105,-120,-4000,2000,260000,253794,
380,808,16760,-802,-107,-151,-4000,2000,260000,253796,
324,748,16784,-851,-68,-155,-4000,2000,260000,253799,
196,652,16872,-788,200,-216,-4000,2000,260000,253811,
224,580,16692,-810,230,-159,-4000,2000,260000,253814,
304,676,16768,-840,282,-192,-4000,2000,260000,253816,
228,648,16904,-785,273,-178,-4000,2000,260000,253818,
120,756,16828,-816,369,-113,-4000,2000,259000,253831,
156,820,16896,-806,373,-110,-4000,2000,259000,253834,
120,708,17008,-829,349,-105,-4000,2000,259000,253836,
136,704,17128,-697,320,-112,-4000,2000,259000,253849,
128,612,17196,-731,334,-118,-4000,2000,259000,253851,
148,608,17188,-695,347,-123,-4000,2000,259000,253853,
316,588,17160,-671,282,-135,-4000,2000,259000,253856,
160,536,17056,-596,272,-125,-4000,2000,259000,253868,
4,452,16984,-530,237,-65,-4000,2000,259000,253871,
128,580,17184,-575,240,-76,-4000,2000,259000,253873,
128,616,17148,-516,200,0,-5000,2000,259000,253886,
72,648,16920,-492,240,-4,-5000,2000,259000,253888,
108,660,17008,-438,284,-13,-5000,2000,259000,253891,
124,604,17084,-431,269,-14,-4000,2000,259000,253893,
140,620,16888,-442,393,-29,-4000,2000,259000,253906,
104,524,16924,-452,396,-6,-4000,2000,259000,253908,
60,644,16916,-457,413,5,-4000,2000,259000,253911,
168,732,16908,-423,415,-10,-4000,2000,259000,253913,
-32,572,16912,-443,489,83,-4000,2000,259000,253926,
-28,596,16960,-403,484,47,-4000,2000,259000,253929,
176,624,16984,-384,482,61,-4000,2000,259000,253931,
100,704,17008,-356,515,42,-4000,2000,259000,253944,
116,652,16860,-367,490,65,-4000,2000,259000,253946,
92,688,16924,-426,519,64,-4000,2000,259000,253948,
32,752,16804,-400,430,80,-4000,2000,259000,253961,
-68,712,16956,-441,411,81,-4000,2000,259000,253963,
