Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
7484,-1696,15084,-300,-450,389,-13000,-24000,226000,164321,
7540,-1600,15180,-390,-581,399,-13000,-24000,226000,164334,
7504,-1672,15160,-359,-677,403,-13000,-24000,226000,164336,
7564,-1680,15104,-372,-689,375,-13000,-24000,226000,164338,
7948,-1704,15124,-405,-708,345,-13000,-25000,226000,164351,
7964,-1676,15296,-409,-695,305,-13000,-25000,226000,164353,
7960,-1680,15244,-376,-674,303,-13000,-25000,226000,164356,
8172,-1752,15196,-403,-284,158,-13000,-25000,226000,164368,
8200,-1776,15176,-391,-235,149,-13000,-25000,226000,164371,
8280,-1776,15136,-415,-130,128,-13000,-25000,226000,164373,
8008,-1956,15196,-401,314,12,-13000,-25000,226000,164386,
8008,-1924,15132,-443,388,-20,-13000,-25000,226000,164388,
8036,-1896,15168,-354,403,-25,-13000,-25000,226000,164391,
7756,-2028,15168,-392,498,-35,-13000,-25000,226000,164403,
7588,-2076,15120,-380,465,1,-13000,-25000,226000,164406,
7580,-2152,15164,-429,454,7,-13000,-25000,226000,164408,
7584,-2124,15176,-400,428,146,-13000,-24000,226000,164421,
7604,-2116,15012,-448,470,151,-13000,-24000,226000,164423,
7688,-2076,15240,-375,417,180,-13000,-24000,226000,164425,
7556,-1960,15256,-405,400,230,-13000,-24000,226000,164438,
7584,-2036,15168,-392,344,256,-13000,-24000,226000,164440,
7500,-2044,15232,-460,354,267,-13000,-24000,226000,164443,
7540,-2224,15304,-440,165,273,-13000,-24000,226000,164455,
7580,-2116,15204,-418,155,232,-13000,-24000,226000,164458,
7564,-2148,15148,-412,82,281,-13000,-24000,226000,164460,
7584,-2220,15304,-328,-51,362,-13000,-24000,226000,164473,
7572,-2176,15212,-340,-76,390,-13000,-24000,226000,164475,
7644,-2152,15140,-350,-30,341,-13000,-24000,226000,164478,
7692,-2204,15156,-336,-15,360,-13000,-24000,226000,164490,
7796,-2040,15180,-256,5,321,-13000,-24000,226000,164493,
7712,-2120,15196,-253,-45,394,-13000,-24000,226000,164495,
7792,-1984,15232,-249,-38,413,-13000,-24000,226000,164508,
7756,-2064,15208,-301,-52,438,-13000,-24000,226000,164510,
7756,-2076,15244,-255,26,383,-13000,-24000,226000,164512,
7824,-2088,15236,-214,32,421,-13000,-24000,226000,164525,
7780,-2032,15296,-183,-8,431,-13000,-24000,226000,164527,
7876,-2204,15248,-189,-1,448,-13000,-24000,226000,164530,
7940,-2136,15220,-134,93,530,-13000,-24000,226000,164542,
7952,-1964,15304,-172,78,528,-13000,-24000,226000,164545,
7992,-2004,15180,-150,126,479,-13000,-24000,226000,164547,
7908,-1836,15332,-124,147,491,-13000,-24000,226000,164560,
7936,-1880,15116,-91,215,499,-13000,-24000,226000,164562,
7908,-1820,15308,-104,205,539,-13000,-24000,226000,164564,
7892,-1748,15196,-66,174,529,-13000,-24000,226000,164577,
7856,-1772,15200,-121,120,530,-13000,-24000,226000,164579,
7952,-1680,15228,-97,146,509,-13000,-24000,226000,164582,
7952,-1696,15168,-194,36,450,-13000,-24000,226000,164594,
7996,-1716,15076,-170,70,416,-13000,-24000,226000,164597,
7924,-1740,15028,-173,23,423,-13000,-24000,226000,164599,
7972,-1800,15124,-172,42,337,-13000,-24000,226000,164611,
7948,-1768,15064,-186,14,329,-13000,-24000,226000,164614,
7924,-1832,15016,-186,74,278,-13000,-24000,226000,164616,
7844,-1784,14912,-247,84,275,-13000,-24000,226000,164629,
7840,-1888,14988,-193,73,220,-13000,-24000,226000,164631,
7960,-1824,15032,-276,12,244,-13000,-24000,226000,164634,
7908,-1860,15040,-343,99,138,-13000,-24000,226000,164646,
7848,-1824,15088,-360,102,137,-13000,-24000,226000,164649,
7920,-1980,14964,-379,156,98,-13000,-24000,226000,164651,
7772,-1860,15012,-466,215,106,-13000,-24000,226000,164664,
7912,-1912,14976,-381,251,61,-13000,-24000,226000,164666,
7840,-1804,14744,-441,208,89,-13000,-24000,226000,164668,
7772,-1892,14928,-482,244,-1,-13000,-24000,226000,164681,
7904,-1824,15024,-498,251,46,-13000,-24000,226000,164683,
7748,-1868,14900,-478,269,-23,-13000,-24000,226000,164686,
7792,-1944,15008,-528,267,28,-13000,-24000,226000,164698,
7784,-1996,14952,-454,222,7,-13000,-24000,226000,164701,
7748,-1932,14964,-537,204,-18,-13000,-24000,226000,164713,
7636,-1928,15036,-505,136,20,-13000,-24000,226000,164716,
7736,-1904,15008,-546,134,-13,-13000,-24000,226000,164718,
7488,-2024,14864,-616,-99,19,-13000,-24000,226000,164730,
7576,-2060,14900,-592,-97,8,-13000,-24000,226000,164733,
7508,-1932,14912,-590,-226,13,-13000,-24000,226000,164735,
7392,-2172,14984,-629,-426,64,-13000,-24000,226000,164748,
7380,-2156,14876,-645,-528,96,-13000,-24000,226000,164750,
7436,-2180,14952,-642,-552,90,-13000,-24000,226000,164753,
7524,-2100,14880,-650,-798,245,-13000,-25000,226000,164765,
7608,-2088,14980,-633,-793,286,-13000,-25000,226000,164767,
7616,-2096,14900,-615,-855,260,-13000,-25000,226000,164770,
7660,-2040,14888,-635,-764,271,-13000,-25000,226000,164783,
7776,-1960,14868,-652,-807,318,-13000,-25000,226000,164785,
7728,-2032,14724,-679,-793,328,-13000,-25000,226000,164787,
7452,-2024,15076,-700,-1066,331,-13000,-25000,226000,164800,
7528,-2084,15008,-718,-1072,362,-13000,-25000,226000,164802,
7276,-2064,15120,-648,-1236,352,-13000,-25000,226000,164805,
7392,-2212,15084,-702,-1635,419,-13000,-25000,226000,164817,
7492,-2232,15020,-768,-1756,406,-14000,-25000,226000,164820,
7476,-2256,15024,-747,-1793,407,-14000,-25000,226000,164822,
8084,-2356,15032,-645,-2067,355,-14000,-25000,226000,164835,
8176,-2340,15064,-630,-2009,407,-14000,-25000,226000,164837,
8200,-2384,15188,-589,-1981,418,-14000,-25000,226000,164840,
8832,-2372,15180,-444,-1242,541,-14000,-25000,226000,164852,
8912,-2424,15084,-462,-1037,546,-14000,-25000,226000,164855,
8936,-2368,15228,-377,-807,506,-14000,-26000,226000,164857,
9056,-2340,15352,-310,315,412,-14000,-25000,226000,164870,
9116,-2272,15384,-222,445,372,-14000,-25000,226000,164872,
9004,-2308,15304,-215,646,372,-14000,-25000,226000,164875,
8592,-2344,15364,-140,1352,268,-14000,-25000,226000,164887,
8552,-2216,15404,-123,1403,285,-14000,-25000,226000,164890,
8572,-2228,15404,-89,1430,265,-14000,-25000,226000,164892,
8044,-2016,15324,-111,1321,385,-14000,-25000,226000,164905,
8108,-1940,15268,-108,1247,415,-14000,-25000,226000,164907,
8116,-1956,15400,-147,1157,446,-14000,-25000,226000,164910,
8088,-1944,15340,-148,683,497,-14000,-25000,226000,164922,
8156,-1916,15548,-194,639,465,-14000,-25000,226000,164925,
8160,-1876,15460,-124,516,427,-14000,-25000,226000,164927,
8320,-1912,15528,-106,211,338,-14000,-25000,226000,164940,
8332,-1988,15648,-118,158,375,-14000,-25000,226000,164942,
8296,-1928,15588,-131,146,332,-14000,-25000,226000,164944,
8372,-1828,15512,-66,25,211,-14000,-25000,226000,164957,
8396,-1888,15364,-68,78,199,-14000,-25000,226000,164959,
8356,-1844,15356,-25,23,168,-14000,-25000,226000,164961,
8320,-1852,15364,-40,-84,45,-13000,-25000,226000,164974,
8232,-1812,15432,-58,-132,40,-13000,-25000,226000,164976,
8244,-1716,15336,-111,-160,9,-13000,-25000,226000,164979,
8036,-1640,15428,-153,-459,-35,-13000,-25000,226000,164991,
8044,-1716,15380,-134,-521,-71,-13000,-25000,226000,164994,
8076,-1752,15372,-128,-603,-66,-13000,-25000,226000,164996,
8088,-1780,15332,-204,-923,-176,-13000,-25000,226000,165009,
8060,-1852,15436,-231,-954,-185,-13000,-25000,226000,165011,
8188,-2008,15300,-249,-958,-219,-13000,-25000,226000,165014,
8304,-1996,15232,-151,-892,-154,-13000,-25000,226000,165026,
8320,-1904,15084,-156,-851,-192,-13000,-25000,226000,165029,
8344,-1916,15172,-146,-833,-188,-13000,-25000,226000,165031,
8520,-1932,15060,-60,-612,-354,-13000,-26000,226000,165044,
8440,-1896,15312,-95,-551,-369,-13000,-26000,226000,165046,
8420,-1872,15240,-98,-511,-418,-13000,-26000,226000,165048,
8368,-1860,14860,-98,-274,-452,-13000,-26000,226000,165061,
8244,-1932,14852,-64,-225,-435,-13000,-26000,226000,165063,
8240,-1824,14976,-51,-220,-390,-13000,-26000,226000,165066,
8088,-1844,14972,15,-100,-331,-13000,-26000,226000,165078,
8124,-1836,14884,1,-57,-311,-13000,-26000,226000,165081,
8040,-1812,15044,16,-10,-292,-13000,-26000,226000,165083,
7908,-1764,14848,-144,39,-318,-13000,-26000,226000,165096,
7824,-1844,14844,-115,54,-298,-13000,-26000,226000,165098,
7900,-1832,14732,-152,28,-277,-13000,-26000,226000,165101,
8000,-1964,14692,-42,89,-198,-13000,-26000,226000,165113,
7948,-2100,14752,-90,113,-180,-13000,-26000,226000,165116,
8032,-1932,14720,-84,195,-180,-13000,-26000,226000,165118,
8000,-1876,14520,-129,416,-143,-13000,-26000,226000,165130,
8068,-1868,14684,-71,437,-142,-13000,-26000,226000,165133,
7980,-1856,14764,-80,405,-133,-13000,-26000,226000,165135,
7720,-1808,14644,-59,452,-157,-13000,-26000,226000,165148,
7660,-1844,14776,-124,437,-111,-13000,-26000,226000,165150,
7620,-1724,14724,-121,466,-107,-13000,-26000,226000,165152,
7568,-1724,14716,-251,170,21,-13000,-26000,226000,165165,
7672,-1564,14564,-254,88,-11,-13000,-26000,226000,165168,
7620,-1672,14680,-295,27,56,-13000,-26000,226000,165170,
7668,-1876,14824,-386,-246,133,-13000,-26000,226000,165186,
7692,-1796,14872,-352,-286,120,-13000,-26000,226000,165189,
7780,-1860,14776,-381,-346,174,-13000,-26000,226000,165191,
7872,-1760,15064,-402,-441,212,-13000,-26000,226000,165204,
7880,-1688,15280,-415,-457,251,-13000,-26000,226000,165206,
7884,-1772,15052,-428,-448,210,-13000,-26000,226000,165208,
7984,-1828,15352,-438,-482,168,-13000,-26000,226000,165221,
8004,-1832,15368,-385,-524,183,-13000,-26000,226000,165223,
8128,-1812,15392,-398,-476,175,-13000,-26000,226000,165226,
8308,-1844,15224,-313,-347,115,-13000,-26000,226000,165238,
8208,-1908,15224,-314,-328,88,-13000,-26000,226000,165241,
