Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
2980,-2336,16368,-188,-455,327,-13000,-6000,142000,177130,
3080,-2292,16604,-195,-146,244,-13000,-6000,142000,177143,
3048,-2288,16368,-236,-9,216,-13000,-6000,142000,177145,
3132,-2252,16476,-206,14,201,-13000,-6000,142000,177148,
2904,-2300,16640,-170,396,115,-13000,-6000,142000,177160,
2984,-2328,16624,-149,409,153,-13000,-6000,142000,177163,
2832,-2212,16464,-198,483,108,-13000,-6000,142000,177165,
2720,-2204,16656,-186,639,45,-13000,-6000,142000,177178,
2600,-2272,16796,-153,662,29,-13000,-6000,142000,177180,
2680,-2128,16784,-119,690,-10,-13000,-6000,142000,177182,
2440,-1892,16948,-193,732,-18,-13000,-6000,142000,177195,
2464,-1928,16896,-139,731,-13,-13000,-6000,142000,177197,
2620,-1916,16964,-190,706,24,-13000,-6000,142000,177200,
2560,-2012,16900,-246,652,30,-13000,-6000,142000,177212,
2668,-2060,16840,-269,673,78,-13000,-6000,142000,177215,
2584,-2036,16780,-302,659,27,-13000,-6000,142000,177217,
2472,-2036,16704,-384,507,26,-13000,-6000,142000,177230,
2316,-2196,16852,-364,563,-19,-13000,-6000,142000,177232,
2420,-2200,16640,-340,466,26,-13000,-6000,142000,177234,
2352,-2248,16436,-328,303,-6,-13000,-6000,142000,177247,
2480,-2248,16480,-300,243,4,-13000,-6000,142000,177249,
2364,-2340,16408,-315,208,24,-13000,-6000,142000,177252,
2468,-2304,16364,-317,165,33,-13000,-6000,142000,177265,
2652,-2320,16340,-270,164,63,-13000,-6000,142000,177267,
2680,-2252,16160,-269,225,3,-13000,-6000,142000,177269,
2564,-2184,16284,-265,163,11,-13000,-6000,142000,177282,
2560,-2232,16344,-237,150,26,-13000,-6000,142000,177284,
2472,-2352,16308,-268,99,34,-13000,-6000,142000,177287,
2680,-2256,16392,-211,22,37,-13000,-6000,142000,177299,
2664,-2228,16372,-231,22,35,-13000,-6000,142000,177301,
2584,-2176,16428,-207,29,12,-13000,-6000,142000,177304,
2776,-2372,16504,-151,83,-4,-13000,-6000,142000,177316,
2872,-2248,16540,-125,166,-55,-13000,-6000,142000,177319,
2780,-2372,16488,-84,94,-41,-13000,-6000,142000,177321,
2968,-2216,16420,-53,250,-85,-13000,-6000,142000,177334,
2888,-2380,16524,-64,252,-66,-13000,-6000,142000,177336,
2896,-2284,16564,-69,290,-94,-13000,-6000,142000,177338,
2576,-2216,16392,-58,340,-107,-13000,-6000,142000,177351,
2516,-2056,16312,-17,393,-131,-13000,-6000,142000,177354,
2548,-2080,16528,4,402,-86,-13000,-6000,142000,177356,
2256,-1900,16464,-67,306,-28,-13000,-6000,142000,177368,
2220,-1932,16456,-13,246,9,-13000,-6000,142000,177371,
2224,-1996,16612,-66,210,38,-13000,-6000,142000,177373,
2280,-1924,16556,-83,-20,38,-13000,-6000,142000,177386,
2328,-1892,16692,-98,-38,64,-13000,-6000,142000,177388,
2408,-1904,16596,-92,-65,54,-13000,-6000,142000,177391,
2524,-2044,16616,-114,-84,56,-13000,-6000,142000,177403,
2596,-1980,16860,-108,-10,32,-13000,-6000,142000,177405,
2600,-1840,16864,-150,-75,49,-13000,-6000,142000,177408,
2872,-1960,16884,-131,160,-53,-13000,-6000,142000,177420,
2836,-1876,16860,-176,142,-33,-13000,-6000,142000,177423,
2876,-1972,16696,-176,242,-60,-13000,-6000,142000,177425,
2736,-1952,16460,-277,365,-173,-13000,-6000,142000,177438,
2828,-1976,16524,-263,441,-174,-13000,-6000,142000,177440,
2724,-2060,16504,-222,462,-171,-13000,-6000,142000,177442,
2660,-1948,16568,-273,585,-194,-13000,-6000,142000,177455,
2576,-1980,16608,-318,563,-144,-13000,-6000,142000,177457,
2648,-1868,16468,-322,538,-141,-13000,-6000,142000,177460,
