Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
2912,8724,11624,1757,-1506,-6575,26000,2000,341000,107748,
3152,7992,11456,1710,-1772,-7063,26000,2000,340000,107760,
2948,7784,11580,1649,-1861,-7231,26000,2000,340000,107762,
2944,7644,11568,1741,-1885,-7298,26000,2000,340000,107765,
2712,6892,11368,1861,-2336,-7999,27000,2000,339000,107777,
2708,6856,11300,1851,-2490,-8192,27000,2000,339000,107779,
2780,6972,11124,1988,-2447,-8302,27000,2000,339000,107782,
2660,6912,10640,1949,-2738,-9097,27000,2000,338000,107794,
2592,6772,10512,1843,-2854,-9281,27000,2000,338000,107797,
1700,7208,9168,1082,-3827,-11411,27000,3000,335000,107833,
1528,7112,8932,516,-4027,-12098,27000,3000,333000,107846,
1332,7056,8944,284,-4117,-12285,27000,3000,333000,107848,
1292,6968,9048,248,-4025,-12327,27000,3000,333000,107,
3576,-2896,15432,-1816,-328,703,-18000,-12000,317000,123722,
3740,-2836,15420,-1689,-214,730,-18000,-12000,317000,123724,
3532,-1816,15020,-1889,821,436,-14000,-13000,316000,123402,
-1460,6352,9268,-2433,-2674,-14015,26000,5000,326000,107919,
-2208,6380,9420,-3009,-2197,-14010,26000,5000,324000,107932,
-2520,6336,9624,-2957,-2328,-13946,26000,5000,324000,107,
-2740,6248,9648,-3108,-2621,-13833,26000,5000,324000,107936,
-3424,5980,9460,-3624,-2589,-13598,25000,6000,323000,107949,
-3656,5832,9528,-3670,-2654,-13609,25000,6000,322000,107951,
-3784,5868,9388,-3811,-2675,-13492,25000,6000,32200,123825,
-4740,6032,9444,-4485,-3399,-12756,24000,6000,320000,107971,
-5300,6544,9672,-5131,-3874,-12465,24000,6000,319000,107983,
-5604,6576,9876,-5364,-3921,-12319,24000,7000,319000,107988,
-6220,6316,10160,-5994,-4505,-11847,23000,7000,318000,108000,
-6168,6216,10244,-6175,-4626,-11544,23000,7000,317000,108005,
-6500,5708,10324,-6722,-4950,-10841,22000,7000,316000,108018,
-6652,5572,10304,-6949,-4981,-10555,22000,7000,316000,108022,
-7056,5408,11000,-7471,-4727,-9800,21000,7000,314000,108035,
-7360,5408,11144,-7712,-4607,-9458,20000,7000,314000,108040,
-7064,5452,12040,-8018,-4238,-8766,20000,7000,313000,108052,
-7256,5192,12124,-8018,-3871,-8697,19000,7000,313000,108054,
-8200,5168,12168,-8484,-3812,-7627,19000,7000,312000,108067,
-8272,5004,12412,-8499,-3832,-7454,18000,7000,312000,108069,
-8144,4992,12180,-8505,-3831,-7249,18000,7000,312000,108072,
-846676,-1280,414,293,-20000,-13000,0,0,0,108072,
-8480,4708,12408,-9022,-3543,-6340,17000,7000,311000,108087,
-8584,4692,12724,-8954,-3338,-6159,17000,7000,311000,108089,
-9484,4924,13264,-9305,-2913,-4944,16000,7000,310000,108101,
-9768,4932,13388,-9500,-2891,-4776,16000,7000,310000,108104,
-9800,5040,13500,-9437,-2806,-4551,16000,7000,310000,108106,
-9880,4780,14368,-9721,-2459,-3407,15000,7000,310000,108118,
-9892,4784,14452,-9917,-2459,-3200,14000,7000,310000,108121,
-9720,4588,14536,-9822,-2301,-2996,14000,7000,310000,108123,
-9688,3840,15652,-9885,-1747,-1974,13000,7000,309000,108136,
-9728,3620,15944,-9881,-1429,-1585,13000,7000,309000,108140,
-9552,3256,16884,-9681,-257,-507,12000,7000,309000,108153,
0,0,0,0,0,0,12000,7000,309000,108153,
3956,-3648,16108,-860,-220,-430,-20000,-13000,318000,124000,
3848,-3572,15848,-911,27,-456,-20000,-13000,318000,124012,
-10292,3084,17864,-9509,1214,1069,11000,8000,309000,108172,
-10752,3004,18284,-9208,1562,2699,9000,8000,310000,108192,
-10748,2656,19048,-8834,1513,3851,8000,8000,310000,108204,
-10736,2636,19196,-8749,1417,4235,8000,8000,310000,108209,
-10408,2216,19532,-8209,1190,5153,7000,9000,311000,108222,
-10100,2232,19792,-8013,1245,5349,7000,9000,311000,108224,
-10024,2216,19820,-8009,1368,5537,7000,9000,311000,108226,
-8708,2056,20768,-6477,1934,7753,6000,9000,313000,108256,
-8660,2180,20944,-6311,2078,7921,6000,9000,313000,108258,
-8732,2144,21092,-6192,1798,8121,6000,9000,313000,108261,
-8496,2292,20860,-5502,1815,8995,5000,9000,314000,108273,
-8292,2284,20772,-5231,1824,9320,5000,9000,314000,108278,
-7664,2668,20704,-4577,1600,10136,5000,9000,315000,108290,
-7508,2820,20672,-4432,1574,10262,5000,9000,315000,108293,
-7520,2792,20504,-4278,1518,10410,5000,9000,316000,108295,
-6572,2896,20476,-3704,1225,11090,5000,9000,317000,108308,
-6456,2848,20380,-3584,1194,11219,5000,9000,317000,108310,
-4468,2928,19856,-2585,1053,12035,5000,10000,319000,108330,
-3608,2932,19360,-2030,823,12374,5000,10000,320000,108342,
-3404,2832,19324,-2017,758,12434,5000,10000,320000,108344,
-3348,2740,19148,-1811,744,12508,5000,9000,320000,108347,
-2116,2644,18896,-1332,390,12469,5000,9000,322000,108359,
-1876,2760,18768,-1365,286,12466,5000,9000,322000,108362,
-1724,2744,18756,-1189,257,12511,5000,9000,322000,108364,
-692,2884,18440,-853,-183,12241,5000,9000,323000,108376,
-508,2840,18420,-945,-343,12203,5000,9000,323000,108379,
