Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
2528,-8308,13476,-13260,685,-2464,-37000,17000,213000,642044,
1944,-9132,13500,-13209,3648,-3600,-39000,17000,212000,642062,
1884,-9244,13576,-13099,3982,-3767,-39000,17000,212000,642064,
1736,-9380,13572,-13070,4273,-3908,-40000,17000,212000,642066,
968,-10152,14120,-12928,5324,-4919,-41000,17000,211000,642079,
932,-10360,14244,-12793,5530,-5126,-41000,17000,211000,642081,
188,-12144,15412,-12147,6080,-7144,-45000,16000,209000,642111,
120,-12316,15532,-12167,6033,-7263,-45000,16000,209000,642113,
-368,-12880,16504,-11615,6171,-8068,-46000,16000,208000,642128,
-444,-12980,16736,-11473,6181,-8157,-47000,16000,208000,642131,
-540,-13032,16788,-11443,6070,-8258,-47000,16000,208000,642133,
-960,-13696,17060,-10900,5886,-8673,-48000,16000,206000,642146,
-1048,-13688,16996,-10845,5772,-8791,-48000,16000,206000,642148,
-1096,-14772,17,-7204,13872,-983,681,-535,-35000,12000,
-3140,-7152,13828,-844,503,-527,-35000,12000,195000,645172,
-3144,-7264,13812,-895,593,-563,-35000,12000,195000,645184,
-3192,-7204,13864,-893,660,-560,-35000,12000,195000,645187,
-3420,-7448,14108,-187,131,-450,-35000,12000,194000,645309,
-2248,-13856,18684,-2619,7985,-8289,-55000,12000,199000,642245,
-2172,-13980,18588,-2345,7918,-8283,-55000,12000,198000,642247,
-3548,-14512,18592,-1274,7750,-8452,-55000,11000,197000,642260,
-3696,-14496,18540,-1000,7592,-8504,-55000,11000,197000,642262,
-4328,-14548,18508,-870,7315,-8602,-55000,11000,197000,642265,
-6140,-14148,18612,188,5009,-8736,-55000,11000,196000,642277,
-6208,-14012,18596,275,4352,-8748,-55000,11000,196000,642279,
-6356,-13776,18496,476,3813,-8717,-55000,11000,196000,642282,
-5196,-13164,18104,1345,1385,-8720,-55000,10000,195000,642294,
-4676,-13172,18060,1575,1274,-8702,-55000,10000,195000,642297,
-4476,-13084,17936,1663,1177,-8714,-55000,10000,195000,642299,
-2836,-13296,17316,2414,2168,-8478,-55000,9000,194000,642312,
-1484,-13272,16560,3452,5726,-8006,-54000,9000,193000,642331,
-1860,-13272,15972,3961,7322,-7748,-54000,9000,192000,642344,
-2080,-13240,16080,4034,7499,-7669,-54000,9000,192000,642346,
-2276,-13188,15804,4115,7564,-7701,-54000,8000,192000,642349,
-3184,-13344,15524,4499,7389,-7756,-53000,8000,191000,642361,
-3336,-13288,15496,4558,7231,-7745,-53000,8000,190000,642363,
-4236,-13300,15264,5079,4639,-8089,-53000,8000,189000,642381,
-4176,-13264,15236,5216,4265,-8099,-53000,8000,189000,642383,
-3432,-12944,15076,5517,2122,-8444,-52000,7000,188000,642398,
-3232,-12916,15036,5568,2010,-8483,-52000,7000,188000,642400,
-3012,-12952,15424,5763,1721,-8830,-51000,6000,187000,642415,
-2844,-13008,15556,6039,2172,-8910,-51000,6000,187000,642428,
-2940,-13160,15540,6276,2371,-8956,-51000,6000,187000,642432,
-3280,-13392,15752,6711,3255,-9050,-50000,5000,186000,642445,
-3480,-13352,15916,6884,3491,-9016,-50000,5000,186000,642447,
