Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
1316,1048,16364,-442,130,72,-2000,0,170000,31157,
1292,1180,16416,-495,215,116,-2000,0,170000,31159,
1156,1204,16512,-537,273,119,-2000,0,170000,31162,
1132,1276,16644,-519,248,162,-2000,0,170000,31164,
716,1428,16696,-663,377,275,-2000,0,170000,31177,
724,1460,16896,-653,336,301,-2000,0,170000,31179,
724,1488,16924,-669,302,282,-2000,0,170000,31181,
556,1312,16828,-668,293,258,-2000,0,170000,31184,
480,984,16800,-664,-141,122,-2000,0,170000,31196,
448,976,16732,-610,-225,141,-2000,0,170000,31199,
608,932,16660,-606,-320,134,-2000,0,170000,31201,
576,836,16648,-604,-385,172,-2000,0,170000,31204,
1176,856,16396,-616,-500,151,-2000,0,170000,31216,
1276,876,16552,-638,-423,175,-2000,0,170000,31219,
1232,968,16436,-590,-394,96,-2000,0,170000,31221,
1348,868,16492,-572,-358,126,-2000,0,170000,31223,
1484,784,16440,-476,9,22,-2000,0,170000,31236,
1436,852,16376,-510,56,41,-2000,0,170000,31238,
1400,904,16380,-530,123,28,-2000,0,170000,31241,
1488,968,16464,-503,114,24,-2000,0,170000,31243,
1160,1360,16396,-632,146,54,-2000,0,170000,31256,
1124,1424,16448,-600,61,74,-2000,0,170000,31258,
1088,1412,16544,-656,58,77,-2000,0,170000,31260,
1000,1384,16496,-665,54,71,-2000,0,170000,31263,
1040,1432,16432,-871,-108,33,-2000,0,170000,31275,
984,1288,16444,-861,-142,0,-2000,0,170000,31278,
924,1304,16528,-888,-213,19,-2000,0,170000,31280,
948,1236,16316,-891,-251,35,-2000,0,170000,31282,
1084,1148,16480,-912,-260,-54,-2000,0,170000,31295,
1148,1136,16504,-870,-211,-70,-2000,0,170000,31297,
1152,1052,16540,-886,-186,-117,-2000,0,170000,31300,
1212,936,16548,-833,-202,-122,-2000,0,170000,31302,
1248,1080,16808,-776,-104,-190,-2000,0,170000,31315,
1272,1108,16860,-766,-133,-162,-2000,0,170000,31317,
1332,1108,16916,-795,-115,-164,-2000,0,170000,31319,
1348,1220,16868,-712,-10,-267,-2000,0,170000,31332,
1168,1304,17040,-702,31,-273,-2000,0,170000,31334,
1240,1352,16752,-669,37,-313,-2000,0,170000,31337,
988,1416,16600,-723,80,-395,-2000,0,170000,31349,
1064,1372,16468,-673,63,-437,-2000,0,170000,31352,
1112,1456,16416,-692,65,-383,-2000,0,170000,31354,
1020,1324,16540,-684,88,-434,-2000,0,170000,31356,
1168,1264,16700,-638,175,-347,-2000,0,170000,31369,
1152,1220,16544,-570,212,-378,-2000,0,170000,31371,
1072,1264,16572,-609,220,-359,-2000,0,170000,31374,
1112,1316,16512,-641,260,-331,-2000,0,170000,31376,
1056,1284,16532,-653,402,-319,-2000,0,170000,31389,
972,1388,16520,-652,450,-326,-2000,0,170000,31391,
900,1328,16660,-655,504,-330,-2000,0,170000,31394,
896,1248,16664,-648,462,-303,-2000,0,170000,31396,
740,1248,16988,-666,249,-288,-2000,0,170000,31409,
676,1280,17016,-699,148,-240,-2000,0,170000,31411,
788,1304,16944,-723,87,-255,-2000,0,170000,31413,
792,1240,17024,-678,68,-316,-2000,0,170000,31416,
720,1228,16996,-659,-312,-333,-2000,0,170000,31428,
760,1156,16976,-626,-351,-333,-2000,0,170000,31430,
724,1280,16912,-643,-434,-328,-2000,0,170000,31433,
688,1160,16912,-668,-442,-335,-2000,0,170000,31435,
896,1352,16516,-593,-536,-363,-2000,0,170000,31448,
916,1224,16508,-649,-498,-388,-2000,0,170000,31450,
932,1312,16732,-573,-497,-417,-2000,0,170000,31452,
1124,1336,16348,-686,-379,-431,-2000,0,170000,31465,
1060,1428,16408,-663,-350,-438,-2000,0,170000,31467,
956,1252,16452,-710,-308,-448,-2000,0,170000,31470,
1040,1272,16504,-706,-224,-490,-2000,0,170000,31472,
1096,1232,16464,-788,-64,-458,-2000,0,170000,31485,
980,1220,16536,-811,-28,-471,-2000,0,170000,31487,
972,1224,16604,-769,-48,-452,-3000,0,170000,31490,
892,1264,16712,-814,-31,-419,-3000,0,170000,31492,
888,1148,17084,-798,-98,-400,-3000,0,170000,31504,
852,1236,17048,-800,-95,-403,-3000,0,170000,31507,
784,1120,17156,-767,-15,-395,-3000,0,170000,31509,
704,1056,17060,-731,-77,-357,-3000,0,170000,31512,
728,968,16976,-625,-20,-341,-3000,0,170000,31524,
872,772,17020,-617,-59,-330,-3000,0,170000,31527,
920,848,16852,-616,-52,-339,-3000,0,170000,31529,
860,840,16988,-560,-2,-336,-3000,0,170000,31531,
932,904,16864,-530,80,-289,-3000,0,170000,31544,
1112,920,16684,-437,81,-277,-3000,0,170000,31546,
948,884,16956,-497,125,-246,-3000,0,170000,31549,
848,916,16908,-499,196,-239,-3000,0,170000,31551,
900,888,16800,-411,338,-158,-3000,0,170000,31564,
912,984,16784,-390,398,-185,-3000,0,170000,31566,
860,1000,16992,-352,397,-158,-3000,0,170000,31568,
880,1092,16712,-387,431,-162,-3000,0,170000,31571,
820,1160,16944,-361,381,-83,-3000,0,170000,31583,
748,1280,16968,-398,395,-21,-3000,0,170000,31586,
868,1252,16928,-361,406,-10,-3000,0,170000,31588,
816,1156,16924,-325,358,-5,-3000,0,170000,31590,
668,1156,16944,-351,284,80,-3000,0,170000,31603,
712,1156,16968,-320,209,81,-3000,0,170000,31605,
656,1060,17048,-354,195,109,-3000,0,170000,31608,
688,1152,16944,-348,205,76,-3000,0,170000,31610,
916,932,16696,-315,46,21,-3000,0,170000,31623,
