Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
-5128,4300,13760,-14042,4989,-5111,-1000,25000,45000,765600,
-5144,4212,13584,-14024,5037,-5085,-2000,25000,44000,765603,
-5120,3988,13724,-13955,5046,-5124,-2000,25000,44000,765605,
-5064,3600,13012,-13787,5116,-5273,-3000,25000,44000,765617,
-5000,3452,12728,-13706,5128,-5275,-4000,25000,44000,765622,
-4944,3140,11952,-13351,5212,-5477,-5000,26000,43000,765635,
-5112,2704,11256,-12928,4770,-5445,-7000,26000,42000,765652,
-5040,2572,11100,-12941,4618,-5426,-7000,26000,42000,765654,
-5116,2504,11160,-12776,4578,-5373,-8000,27000,42000,765657,
-5308,1760,10752,-12424,4088,-5343,-9000,27000,41000,765669,
-5624,924,10120,-11664,2958,-5014,-11000,27000,40000,765691,
-5548,588,9924,-11135,2567,-5058,-13000,27000,40000,765704,
-5596,432,9904,-10946,2540,-5027,-13000,27000,40000,765706,
-5592,380,9736,-10882,2479,-5033,-13000,27000,40000,765708,
-5560,-232,9792,6916,13784,1604,-128,472,20000,14000,
76,7160,14232,1538,1526,184,20000,14000,47000,770805,
-3916,6388,13872,1560,525,-35,18000,15000,46000,770651,
-3876,63280,14088,1219,-1864,536,21000,14000,47000,770856,
-4300,7332,14160,1315,-609,314,21000,14000,47000,770837,
-4256,7244,1411644,1026,-1481,526,21000,14000,47000,770874,
-3732,7540,14148,1258,-1745,517,21000,14000,47000,770854,
-6884,-1672,9512,-7890,2528,-5284,-19000,28000,37000,765772,
-6992,-1668,9540,-7760,2423,-5272,-19000,28000,37000,765775,
-7056,-1680,9464,-7712,2210,-5305,-19000,28000,36000,765777,
-7400,-2020,9528,-7209,996,-5218,-20000,28000,36000,765790,
-7380,-2088,9632,-7156,628,-5184,-20000,28000,36000,765792,
-6972,-2816,9432,-5917,-1230,-4969,-22000,28000,35000,765826,
-6704,-3252,9340,-5462,-914,-5085,-23000,27000,34000,765839,
-6656,-3260,9216,-5270,191,22000,14000,47000,770942,0,
-3372,8068,13824,825,-258,222,22000,14000,47000,770944,
-6464,-3708,9504,-4462,280,-5268,-24000,27000,33000,765861,
-7048,-3772,9836,-4009,847,-5478,-25000,27000,33000,765873,
-7156,-3772,9872,-4029,757,-5513,-25000,27000,33000,765875,
-7312,-3900,9776,-3975,792,-5556,-25000,27000,32000,765878,
-7952,-3952,9952,-3471,-394,-5720,-26000,27000,32000,765890,
-7960,-4012,10060,-3448,-700,-5718,-26000,27000,32000,765893,
-8084,-3976,10104,-3371,-1047,-5661,-26000,27000,32000,765895,
-8236,-4196,10412,-3004,-3306,-5495,-26000,26000,31000,765908,
-7512,-4452,10344,-22792,8032,14116,167,1462,418,22000,
-5772,-4544,10396,-4680,68,584,563,22000,13000,47000,
-5792,-4420,10396,-1485,-5506,-5889,-28000,23000,30000,765959,
-5620,-4408,10356,-1427,-5389,-5906,-28000,23000,30000,765962,
-5776,-4208,10272,-1254,-5142,-6132,-28000,23000,30000,765974,
-5904,-4228,10212,-1155,-5054,-6171,-28000,22000,30000,765977,
-5948,-4276,10344,-1131,-5145,-6205,-28000,22000,30000,765979,
-6004,-4732,10828,-538,-5826,-6343,-28000,22000,30000,765992,
-6008,-4952,10792,-548,-6044,-6383,-28000,21000,30000,765994,
-5804,-5056,11296,-93,-6525,-6705,-28000,21000,29000,766007,
-5792,-4916,11368,-21,-6760,-6756,-28000,20000,29000,766009,
-5636,-4792,11372,39,-6807,-6719,-28000,20000,29000,766011,
-4780,-4584,10872,300,-7895,-6399,-28000,19000,29000,766024,
-4856,-4600,10728,374,-7891,-6312,-28000,19000,29000,766026,
-4720,-4688,10712,454,-8030,-6320,-28000,19000,29000,766028,
-3484,-4924,11612,1579,-5411,-7141,-28000,17000,28000,766062,
-3076,-4560,10984,1778,-4901,-7489,-28000,16000,28000,766075,
-3152,-4524,10984,1882,21000,14000,0,0,0,766075,
-3104,-4452,10936,1895,-4800,-7368,-28000,15000,28000,766080,
-4128,-4848,11764,2414,-5817,-6976,-27000,14000,27000,766109,
-4032,-4932,11832,2465,-6305,-6919,-27000,14000,27000,766112,
