Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
1928,1892,15892,-669,-239,493,0,-6000,223000,950111,
1964,1952,15696,-707,-298,526,0,-6000,223000,950114,
2188,2304,15988,-718,-188,614,0,-6000,223000,950126,
2224,2336,16048,-752,-190,604,0,-6000,223000,950129,
2376,2320,15960,-763,-178,552,0,-6000,223000,950131,
2452,2436,16000,-754,-217,508,0,-6000,223000,950134,
2500,2368,16356,-755,-97,222,0,-6000,223000,950146,
2508,2248,16368,-688,-110,168,0,-6000,223000,950149,
2340,2364,16412,-702,-111,124,0,-6000,223000,950151,
2328,1808,16140,-644,-163,0,0,-6000,223000,950164,
2356,1756,16200,-646,-83,-23,0,-6000,223000,950166,
2296,1756,16272,-625,-49,-66,0,-6000,223000,950169,
2412,1824,16224,-635,-38,-77,0,-6000,223000,950171,
2696,2120,15920,-767,38,-170,0,-6000,223000,950184,
2764,2172,16040,-819,43,-158,0,-6000,223000,950186,
2880,2264,16032,-888,138,-164,0,-6000,223000,950188,
2792,2412,16016,-904,189,-163,0,-6000,223000,950191,
2940,2592,16148,-1164,747,-139,0,-6000,223000,950203,
3040,2564,16376,-1162,867,-132,0,-6000,223000,950206,
2980,2488,16364,-1182,944,-175,0,-6000,223000,950208,
2628,1928,16336,-1248,1142,-434,0,-6000,223000,950221,
2432,1744,16232,-1253,1111,-447,0,-6000,223000,950223,
2352,1600,16032,-1268,1045,-494,0,-6000,223000,950226,
2264,1388,16056,-1225,992,-504,0,-6000,223000,950228,
1816,1056,16404,-1270,674,-606,0,-6000,223000,950241,
1844,1068,16376,-1214,635,-634,0,-6000,223000,950243,
1780,1028,16404,-1215,494,-644,0,-6000,223000,950246,
2044,1096,16116,-988,-26,-753,0,-6000,223000,950258,
2076,1156,15988,-957,-31,-743,0,-6000,223000,950261,
2236,1096,16128,-941,3,-756,0,-6000,223000,950263,
2168,1176,16228,-848,63,-744,0,-6000,223000,950265,
2568,1572,15880,-865,964,-711,0,-5000,223000,950278,
2592,1672,15824,-824,1171,-792,0,-5000,223000,950280,
2844,1688,15892,-917,1348,-805,0,-5000,223000,950283,
2872,1832,15896,-985,1568,-859,0,-5000,223000,950285,
2652,1820,16168,-1225,2442,-852,0,-5000,223000,950298,
2596,1640,16316,-1263,2619,-807,0,-5000,223000,950300,
2376,1752,16444,-1255,2764,-762,0,-5000,223000,950303,
1436,1396,16372,-1527,3163,-455,0,-5000,223000,950315,
1096,1480,16456,-1530,3090,-402,0,-5000,223000,950318,
936,1304,16480,-1595,2995,-324,0,-5000,223000,950320,
880,1260,16600,-1633,2863,-265,0,-5000,223000,950323,
280,1012,16144,-1670,1334,-116,0,-4000,223000,950335,
328,904,16064,-1679,996,-108,0,-4000,223000,950337,
240,932,16088,-1622,657,-126,0,-4000,223000,950340,
336,1436,16320,-1580,-657,-68,0,-4000,223000,950353,
616,1468,16624,-1540,-950,-64,0,-4000,223000,950355,
780,1684,16620,-1558,-1115,-32,0,-4000,223000,950357,
1160,1724,16972,-1586,-1297,-98,0,-4000,223000,950360,
2000,1744,17108,-1528,-1752,-269,0,-5000,223000,950372,
2144,1692,16980,-1561,-1670,-308,-1000,-5000,223000,950375,
2276,1760,17020,-1511,-1603,-262,-1000,-5000,223000,950377,
2536,1676,17060,-1556,-959,37,-1000,-5000,223000,950390,
2460,1788,17032,-1511,-818,142,-1000,-5000,223000,950392,
2556,1704,17152,-1586,-741,186,-1000,-5000,223000,950395,
2360,1576,17268,-1509,-357,299,-1000,-5000,223000,950407,
2200,1736,17192,-1543,-329,303,-1000,-5000,223000,950410,
2040,1576,17400,-1516,-262,259,-1000,-5000,223000,950412,
1968,1684,17552,-1559,-385,289,-1000,-5000,223000,950425,
1912,1676,17504,-1529,-405,267,-1000,-5000,223000,950427,
1840,1608,17380,-1483,-531,267,-1000,-5000,223000,950430,
1860,1304,17476,-1303,-815,197,-1000,-5000,223000,950442,
1848,1308,17456,-1229,-879,186,-1000,-5000,223000,950445,
1900,1332,17416,-1244,-902,224,-1000,-5000,223000,950447,
2560,1424,17544,-1080,-1292,89,-1000,-5000,223000,950460,
2648,1504,17576,-1080,-1361,44,-1000,-5000,223000,950462,
2580,1464,17480,-1057,-1374,-32,-1000,-5000,223000,950465,
2716,1460,17564,-841,-1156,-66,-1000,-5000,223000,950477,
