Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
4456,720,16392,-536,235,80,-4000,-11000,168000,66382,
4352,804,16372,-521,135,99,-4000,-11000,168000,66395,
4496,816,16280,-580,118,118,-4000,-11000,168000,66397,
4516,872,16364,-561,150,108,-4000,-11000,168000,66400,
4376,916,16328,-513,85,124,-4000,-11000,168000,66402,
4588,928,16192,-570,47,138,-4000,-11000,168000,66415,
4556,816,16284,-563,4,171,-4000,-11000,168000,66417,
4680,880,16180,-585,14,173,-4000,-11000,168000,66419,
4568,772,16176,-558,49,183,-4000,-12000,168000,66432,
4712,708,16220,-559,42,189,-4000,-12000,168000,66434,
4700,688,16280,-537,54,171,-4000,-12000,168000,66437,
4524,732,16352,-556,5,170,-4000,-12000,168000,66439,
4596,788,16276,-528,-68,165,-4000,-12000,168000,66452,
4624,812,16468,-567,-92,182,-4000,-12000,168000,66454,
4644,780,16352,-575,-80,165,-4000,-12000,168000,66456,
4840,696,16428,-531,-179,66,-4000,-12000,168000,66469,
4768,636,16260,-527,-190,56,-4000,-12000,168000,66471,
4772,644,16276,-522,-175,60,-4000,-12000,168000,66474,
4792,648,16508,-558,-206,62,-4000,-12000,168000,66476,
4940,692,16188,-573,-125,0,-4000,-12000,168000,66489,
4924,656,16376,-634,-99,6,-4000,-12000,168000,66491,
4936,652,16436,-616,-42,-10,-4000,-12000,168000,66493,
4972,608,16428,-664,169,-51,-4000,-12000,168000,66506,
5008,584,16316,-659,243,-52,-4000,-12000,168000,66508,
5044,564,16396,-667,235,-83,-4000,-12000,168000,66511,
4980,604,16528,-694,272,-60,-4000,-12000,168000,66513,
4784,540,16416,-620,371,-143,-4000,-12000,168000,66526,
4704,520,16504,-641,355,-142,-4000,-12000,168000,66528,
4668,444,16408,-579,396,-153,-4000,-12000,168000,66530,
4456,556,16420,-551,358,-192,-4000,-12000,168000,66543,
4524,624,16552,-525,295,-202,-4000,-12000,168000,66545,
4528,572,16564,-530,278,-178,-4000,-12000,168000,66548,
4496,684,16492,-479,175,-217,-4000,-12000,168000,66560,
4468,724,16516,-497,198,-184,-4000,-12000,168000,66563,
4520,652,16436,-498,216,-219,-4000,-12000,168000,66565,
4524,812,16456,-454,274,-214,-4000,-12000,168000,66578,
4600,764,16424,-411,294,-213,-4000,-12000,168000,66580,
4448,716,16456,-429,262,-217,-4000,-12000,168000,66582,
4428,872,16296,-379,315,-244,-4000,-12000,167000,66595,
4292,692,16304,-390,324,-184,-4000,-12000,167000,66597,
4376,772,16312,-351,322,-112,-4000,-12000,167000,66610,
4204,920,16340,-381,299,-147,-4000,-12000,167000,66612,
4224,836,16320,-391,296,-127,-4000,-12000,167000,66615,
4200,948,16212,-454,200,-46,-4000,-12000,167000,66627,
4276,876,16228,-410,237,-62,-4000,-12000,167000,66630,
4308,804,16336,-381,189,-34,-4000,-12000,167000,66632,
4272,860,16168,-428,199,-53,-4000,-12000,167000,66634,
4292,964,16220,-484,124,-12,-4000,-12000,167000,66647,
4300,816,16216,-524,132,-35,-4000,-12000,167000,66649,
4372,896,16192,-513,136,-17,-4000,-12000,167000,66652,
4384,984,16260,-620,103,61,-4000,-12000,167000,66664,
4256,872,16252,-598,122,11,-4000,-12000,167000,66667,
4280,888,16200,-614,44,57,-4000,-12000,167000,66669,
4356,816,16180,-635,78,90,-4000,-12000,167000,66671,
4384,864,16396,-708,62,119,-4000,-12000,167000,66684,
4392,924,16328,-738,126,87,-4000,-12000,167000,66686,
4404,924,16316,-762,59,119,-4000,-12000,167000,66689,
4376,896,16420,-792,117,114,-4000,-12000,167000,66701,
4464,944,16300,-745,107,100,-4000,-12000,167000,66704,
4496,920,16372,-802,83,108,-4000,-12000,167000,66706,
4468,848,16412,-767,143,99,-4000,-12000,167000,66708,
4564,764,16320,-798,158,117,-4000,-12000,167000,66721,
4584,760,16228,-761,212,82,-4000,-12000,167000,66723,
4528,692,16260,-784,165,115,-4000,-12000,167000,66726,
4592,580,16404,-680,310,127,-4000,-12000,167000,66738,
4632,532,16436,-740,304,180,-4000,-12000,167000,66741,
4500,620,16428,-713,347,147,-4000,-12000,167000,66743,
4584,496,16500,-644,340,147,-4000,-12000,167000,66745,
4612,464,16564,-619,380,147,-4000,-12000,167000,66758,
4504,524,16460,-600,318,158,-4000,-12000,167000,66760,
4564,392,16508,-616,293,154,-4000,-12000,167000,66763,
4604,336,16404,-560,160,126,-4000,-12000,167000,66775,
4572,368,16436,-551,148,142,-4000,-12000,167000,66778,
4588,276,16228,-590,115,93,-4000,-12000,167000,66780,
4676,488,16376,-541,15,103,-4000,-12000,167000,66783,
4652,396,16344,-541,-6,15,-4000,-12000,167000,66795,
4672,484,16356,-495,-40,67,-4000,-12000,167000,66797,
4732,436,16472,-570,-39,37,-4000,-12000,167000,66800,
4680,580,16324,-546,-28,9,-4000,-12000,167000,66812,
4764,528,16328,-569,24,20,-4000,-12000,167000,66815,
4736,564,16372,-540,20,0,-4000,-12000,167000,66817,
4760,484,16316,-548,4,24,-4000,-12000,167000,66819,
4776,632,16392,-577,79,-41,-4000,-12000,167000,66832,
4816,480,16440,-635,58,-24,-4000,-12000,167000,66834,
4884,468,16320,-614,120,-49,-4000,-12000,167000,66837,
4812,340,16452,-605,185,-64,-4000,-12000,167000,66849,
4760,460,16268,-621,249,-118,-4000,-12000,167000,66852,
4724,440,16304,-535,239,-106,-4000,-12000,167000,66854,
4796,448,16288,-563,359,-132,-4000,-12000,167000,66867,
4628,520,16312,-544,316,-116,-4000,-12000,167000,66869,
4604,504,16428,-601,337,-96,-4000,-12000,167000,66872,
4656,452,16288,-561,387,-110,-4000,-12000,167000,66874,
4456,464,16336,-572,286,-91,-4000,-12000,167000,66887,
4476,552,16464,-546,326,-126,-4000,-12000,167000,66889,
4436,544,16436,-536,268,-71,-4000,-12000,167000,66892,
4556,536,16192,-493,246,-61,-4000,-12000,167000,66904,
4512,552,16300,-525,179,-32,-4000,-12000,167000,66907,
4540,516,16332,-523,219,-55,-4000,-12000,167000,66909,
4556,548,16400,-505,182,-60,-4000,-12000,167000,66911,
4560,484,16492,-504,201,-25,-4000,-12000,167000,66924,
4500,520,16468,-478,167,-16,-4000,-12000,167000,66926,
4420,552,16416,-527,145,25,-4000,-12000,167000,66929,
4392,716,16416,-473,140,32,-4000,-12000,167000,66941,
4476,588,16388,-534,144,20,-4000,-12000,167000,66944,
4448,508,16392,-515,185,7,-4000,-12000,167000,66946,
4356,648,16480,-480,119,16,-4000,-12000,167000,66948,
4516,660,16440,-526,86,22,-4000,-12000,167000,66965,
4616,744,16444,-529,118,-8,-4000,-12000,167000,66967,
4536,740,16480,-532,102,8,-4000,-12000,167000,66969,
4588,668,16436,-549,198,1,-4000,-12000,167000,66982,
4484,708,16540,-497,202,27,-4000,-12000,167000,66984,
4648,708,16532,-527,219,17,-4000,-12000,167000,66987,
4544,636,16416,-504,279,37,-4000,-12000,167000,66989,
4508,672,16520,-494,344,95,-4000,-12000,167000,67002,
4516,684,16556,-487,382,55,-4000,-12000,167000,67004,
4524,712,16456,-456,299,76,-4000,-12000,167000,67006,
4620,624,16652,-430,336,-1,-4000,-12000,167000,67019,
4448,728,16652,-472,299,19,-4000,-12000,167000,67021,
4436,620,16452,-439,319,7,-4000,-12000,167000,67024,
4576,632,16612,-413,306,-16,-4000,-12000,167000,67026,
4564,708,16596,-429,285,-2,-4000,-12000,167000,67039,
4608,788,16596,-387,282,-15,-4000,-12000,167000,67041,
4636,736,16540,-406,271,45,-4000,-12000,167000,67044,
4600,612,16464,-375,281,-6,-4000,-12000,167000,67056,
4540,712,16556,-423,253,32,-4000,-12000,167000,67059,
4636,664,16572,-433,264,-2,-4000,-12000,167000,67061,
4628,592,16572,-364,236,-42,-4000,-12000,167000,67063,
4544,556,16488,-435,220,-55,-4000,-12000,167000,67076,
4676,600,16456,-333,207,-57,-4000,-12000,167000,67078,
4680,552,16356,-414,179,-41,-4000,-12000,167000,67081,
4556,500,16504,-289,221,-54,-4000,-12000,167000,67093,
4600,504,16460,-320,262,-69,-4000,-12000,167000,67096,
4596,420,16524,-317,280,-110,-4000,-12000,167000,67098,
4688,564,16348,-260,252,-44,-4000,-12000,167000,67100,
4684,500,16592,-188,369,-73,-4000,-12000,167000,67113,
4672,512,16480,-205,315,-85,-4000,-12000,167000,67115,
4724,472,16352,-231,356,-68,-4000,-12000,167000,67118,
4676,592,16324,-173,383,-111,-4000,-12000,167000,67130,
4704,500,16408,-181,409,-134,-4000,-12000,167000,67133,
4572,616,16452,-155,426,-140,-4000,-12000,167000,67135,
4592,584,16500,-174,398,-122,-4000,-12000,167000,67148,
4544,672,16312,-149,387,-179,-4000,-12000,167000,67150,
4668,652,16244,-232,354,-175,-4000,-12000,167000,67152,
4528,520,16488,-221,379,-164,-4000,-12000,167000,67165,
4512,612,16476,-233,375,-169,-4000,-12000,167000,67167,
4680,540,16396,-238,444,-225,-4000,-12000,167000,67170,
4604,640,16364,-241,360,-187,-4000,-12000,167000,67182,
4540,540,16320,-252,387,-196,-4000,-12000,167000,67185,
4468,584,16312,-235,348,-191,-4000,-12000,167000,67187,
4516,548,16340,-257,340,-190,-4000,-12000,167000,67200,
4456,636,16308,-255,284,-211,-4000,-12000,167000,67202,
4472,560,16276,-266,298,-168,-4000,-12000,167000,67204,
4476,628,16404,-242,252,-146,-4000,-12000,167000,67217,
4484,620,16284,-298,237,-141,-4000,-12000,167000,67219,
4480,424,16340,-222,292,-130,-4000,-12000,167000,67222,
4428,584,16272,-280,225,-140,-4000,-12000,167000,67234,
4588,696,16204,-219,229,-135,-4000,-12000,167000,67237,
4608,696,16204,-231,224,-129,-4000,-12000,167000,67239,
4480,696,16208,-181,256,-119,-4000,-12000,167000,67252,
4564,692,16352,-203,243,-99,-4000,-12000,167000,67254,
4464,680,16324,-188,293,-138,-4000,-12000,167000,67256,
4608,660,16364,-199,290,-140,-4000,-12000,167000,67269,
4604,796,16392,-179,284,-192,-4000,-12000,167000,67271,
4468,672,16344,-132,244,-180,-4000,-12000,167000,67273,
4624,692,16248,-185,303,-276,-4000,-12000,167000,67286,
4636,672,16136,-168,265,-261,-4000,-12000,167000,67288,
4472,700,16204,-189,260,-280,-4000,-12000,167000,67291,
4516,772,16216,-209,261,-320,-4000,-12000,167000,67303,
4560,856,16188,-203,235,-328,-4000,-12000,167000,67306,
4568,872,16132,-172,262,-332,-4000,-12000,167000,67308,
4620,848,16228,-292,338,-309,-4000,-12000,167000,67321,
4664,932,16064,-277,355,-311,-4000,-12000,167000,67323,
4596,932,16104,-305,354,-287,-4000,-12000,167000,67325,
4532,808,16156,-325,525,-263,-4000,-12000,167000,67338,
4592,884,16244,-384,541,-234,-4000,-12000,167000,67340,
4544,1004,16076,-410,612,-261,-4000,-12000,167000,67342,
4500,920,16312,-432,582,-266,-4000,-12000,166000,67355,
4568,844,16252,-417,593,-301,-4000,-12000,166000,67357,
4516,988,16284,-458,564,-269,-4000,-12000,166000,67360,
4388,1112,16216,-496,492,-302,-4000,-12000,166000,67372,
4264,976,16392,-554,418,-307,-4000,-12000,166000,67375,
4460,1040,16240,-596,441,-313,-4000,-12000,166000,67377,
4328,904,16208,-646,334,-237,-4000,-11000,166000,67390,
4372,856,16324,-664,332,-246,-4000,-11000,166000,67392,
4304,968,16184,-629,291,-252,-4000,-11000,166000,67394,
4484,804,16336,-667,250,-227,-4000,-11000,166000,67407,
4488,788,16336,-632,211,-225,-4000,-11000,166000,67409,
4416,936,16400,-670,233,-191,-4000,-11000,166000,67412,
4532,856,16392,-608,268,-164,-4000,-11000,166000,67424,
4588,832,16332,-656,278,-142,-4000,-11000,166000,67427,
4504,780,16328,-617,374,-193,-4000,-11000,166000,67429,
4512,672,16320,-636,456,-228,-4000,-11000,166000,67441,
4552,708,16440,-595,463,-236,-4000,-11000,166000,67444,
4488,764,16416,-611,460,-225,-4000,-11000,166000,67446,
4416,616,16380,-536,502,-238,-4000,-11000,166000,67459,
4408,548,16280,-580,482,-196,-4000,-11000,166000,67461,
4240,636,16516,-567,490,-252,-4000,-11000,166000,67463,
4456,592,16336,-536,379,-198,-4000,-11000,166000,67476,
