Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
-4276,-2388,15660,-817,431,190,-14000,17000,174000,359542,
-4228,-2232,15644,-875,366,202,-14000,17000,174000,359545,
-4316,-2200,15656,-946,350,193,-14000,17000,174000,359547,
-4336,-2404,15600,-913,-29,135,-14000,17000,174000,359560,
-4164,-2304,15652,-883,-52,106,-14000,17000,174000,359562,
-4312,-2340,15608,-862,-122,77,-14000,17000,174000,359565,
-4088,-2520,15748,-863,-346,17,-14000,17000,174000,359577,
-3952,-2500,15548,-824,-372,-13,-14000,17000,174000,359579,
-4120,-2416,15576,-833,-414,27,-14000,17000,174000,359582,
-3820,-2348,16044,-693,-331,-93,-14000,17000,174000,359595,
-3764,-2400,16104,-786,-272,-92,-14000,17000,174000,359597,
-3736,-2232,15996,-753,-218,-101,-14000,17000,174000,359599,
-3680,-2200,15912,-718,225,-19,-14000,17000,174000,359612,
-3756,-2224,15864,-732,342,-36,-14000,17000,174000,359615,
-3876,-2164,16036,-662,381,-60,-14000,17000,174000,359617,
-4112,-2348,15700,-610,592,-75,-14000,17000,174000,359630,
-4140,-2336,15592,-534,575,-100,-14000,17000,174000,359632,
-4220,-2324,15592,-585,532,-91,-14000,17000,174000,359635,
-4360,-2344,15732,-559,280,-86,-14000,17000,174000,359647,
-4444,-2308,15620,-598,226,-93,-14000,17000,174000,359650,
-4348,-2344,15824,-605,153,-102,-14000,17000,174000,359652,
-4184,-2100,15860,-655,-42,-127,-15000,17000,174000,359665,
-4144,-2168,15832,-706,-73,-132,-15000,17000,174000,359667,
-4048,-2144,15776,-732,13,-160,-15000,17000,174000,359670,
-3948,-2192,15696,-745,56,-205,-15000,17000,174000,359682,
-3928,-2272,15628,-798,130,-249,-15000,17000,174000,359685,
-3880,-2164,15768,-766,181,-264,-15000,17000,174000,359687,
-4180,-2448,15764,-749,394,-260,-15000,17000,174000,359700,
-4100,-2544,15816,-734,384,-244,-15000,17000,174000,359702,
-4248,-2532,15760,-691,453,-275,-15000,17000,174000,359705,
-4328,-2452,15748,-659,436,-226,-15000,17000,174000,359717,
-4372,-2568,15608,-689,401,-176,-15000,17000,174000,359720,
