Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
3532,1988,16396,-387,264,66,0,-7000,242000,171636,
3448,2048,16444,-401,427,97,0,-7000,242000,171649,
3560,1980,16396,-356,491,78,0,-7000,242000,171651,
3468,2020,16436,-373,453,78,0,-7000,242000,171654,
3392,1988,16480,-398,490,66,0,-7000,242000,171656,
3280,2024,16352,-400,396,34,0,-7000,242000,171669,
3152,2068,16324,-405,412,46,0,-7000,242000,171671,
3208,2020,16412,-382,390,49,0,-7000,242000,171673,
3148,1872,16392,-421,323,66,0,-7000,242000,171676,
3244,2056,16232,-459,162,58,0,-7000,242000,171688,
3296,2040,16252,-519,132,91,0,-7000,242000,171691,
3244,2100,16300,-509,149,69,0,-7000,242000,171693,
3220,2048,16356,-465,77,89,0,-7000,242000,171695,
3404,1984,16236,-509,4,94,0,-7000,242000,171708,
3328,1888,16384,-506,-30,149,0,-7000,242000,171710,
3348,1940,16524,-565,-13,118,0,-7000,242000,171713,
3404,1824,16384,-512,47,132,0,-7000,242000,171715,
3528,1956,16668,-545,132,112,0,-7000,242000,171728,
3568,1940,16304,-493,143,82,0,-7000,242000,171730,
3492,1996,16264,-532,186,98,0,-7000,242000,171732,
3488,1976,16264,-569,221,81,0,-7000,242000,171735,
3568,1936,16360,-552,369,76,0,-7000,242000,171747,
3536,2028,16388,-550,434,36,0,-7000,242000,171749,
3584,2012,16328,-494,416,55,0,-7000,242000,171752,
3556,1988,16364,-548,410,77,0,-7000,242000,171754,
3444,2016,16400,-509,417,40,0,-7000,242000,171767,
3540,2052,16292,-553,420,62,0,-7000,242000,171769,
3340,1948,16332,-527,440,36,0,-7000,242000,171771,
3212,1920,16312,-570,320,100,0,-7000,242000,171784,
3128,1948,16360,-535,286,71,0,-7000,242000,171786,
3052,1992,16384,-562,243,127,0,-7000,242000,171789,
3028,1988,16364,-602,235,98,0,-7000,242000,171791,
3296,2012,16496,-592,43,84,0,-7000,242000,171804,
3224,1932,16588,-591,61,83,0,-7000,242000,171806,
3316,1908,16712,-574,14,80,0,-7000,242000,171808,
3420,1976,16448,-580,0,97,0,-7000,242000,171811,
3580,1872,16488,-553,26,58,0,-7000,242000,171823,
3504,1904,16504,-573,52,57,0,-7000,242000,171825,
3444,1964,16364,-561,117,12,0,-7000,242000,171828,
3528,1932,16564,-533,83,21,0,-7000,242000,171830,
3588,1884,16540,-540,259,-10,0,-8000,242000,171843,
3512,1928,16420,-531,234,10,0,-8000,242000,171845,
3516,1968,16544,-535,262,7,0,-8000,242000,171847,
3548,1868,16520,-527,317,10,0,-8000,242000,171850,
3612,1924,16572,-516,377,1,0,-7000,242000,171862,
3472,1892,16492,-474,393,-15,0,-7000,242000,171865,
3492,1940,16584,-482,372,-4,0,-7000,242000,171867,
3492,1960,16544,-482,405,7,0,-7000,242000,171869,
3404,1968,16556,-409,314,-32,0,-7000,242000,171886,
3232,2064,16604,-435,272,15,0,-7000,242000,171888,
3232,1960,16548,-431,251,4,0,-7000,242000,171891,
3136,1924,16720,-407,209,-17,0,-7000,242000,171893,
