Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
-3816,-5176,8968,-7463,-10371,8440,-18000,7000,84000,229594,
-3168,-5152,9304,-7644,-12833,8684,-18000,6000,85000,229607,
-2808,-5228,9320,-7640,-13027,8712,-18000,6000,86000,229609,
-1292,-6100,8848,-7910,-13668,8676,-19000,5000,87000,229621,
-660,-6184,8984,-7817,-13383,8694,-19000,5000,87000,229624,
-404,-6304,9032,-7950,-13228,8723,-19000,5000,87000,229626,
1100,-5732,9056,-8317,-11540,8997,-20000,4000,88000,229638,
1228,-5504,9436,-8588,-11173,9089,-20000,4000,89000,229641,
1404,-5228,9504,-8632,-10720,9176,-20000,4000,89000,229643,
1632,-4116,10712,-10136,-8737,9422,-21000,3000,90000,229655,
1856,-3708,10840,-10341,-8327,9372,-22000,3000,90000,229658,
1884,-3616,11056,-10745,-7933,9269,-22000,3000,90000,229660,
2048,-3644,11648,-12415,-4692,8332,-23000,3000,91000,229672,
2652,-2584,9396,-12735,-5155,8413,-23000,3000,92000,229675,
2020,-3344,12740,-13442,-5241,8065,-23000,3000,92000,229677,
0,0,0,0,0,0,-23000,3000,92000,229677,
-1448,-312,16120,-354,303,154,-8000,7000,5000,339820,
-1404,-216,15848,-455,249,158,-8000,7000,5000,339832,
-1384,-352,15928,-342,276,159,-8000,7000,5000,339834,
-1248,-312,16028,-452,263,167,-8000,7000,5000,339837,
-1164,-288,15744,-502,288,130,-8000,7000,5000,339849,
1236,-8912,20640,-16490,1796,1159,-36000,4000,93000,229778,
1308,-9248,20604,-16248,1866,1054,-37000,4000,93000,229781,
1168,-9332,20788,-15930,2000,954,-37000,4000,93000,229783,
1324,-9968,21428,-14166,2653,533,-38000,4000,93000,229795,
1576,-10196,21344,-13883,2793,439,-38000,4000,93000,229798,
1556,-10124,21432,-13494,2950,429,-39000,4000,93000,229800,
1660,-10676,21772,-11938,4005,144,-40000,4000,93000,229813,
1480,-10696,21624,-11501,4338,96,-40000,4000,93000,229815,
1680,-10660,21780,-11358,4517,88,-40000,4000,93000,229817,
1116,-11096,22100,-10020,5941,-55,-41000,5000,93000,229830,
1264,-11144,22100,-9807,6221,-82,-41000,5000,93000,229832,
944,-11448,22256,-9569,6527,-114,-41000,5000,92000,229835,
608,-12024,21948,-8240,8037,-152,-42000,6000,92000,229847,
504,-12100,21508,-8235,8162,-219,-42000,6000,92000,229849,
500,-12152,21756,-7883,8489,-180,-42000,6000,92000,229852,
-212,-12628,21400,-7032,9582,-49,-43000,6000,91000,229864,
-360,-12504,22404,-6716,9694,-11,-43000,6000,91000,229866,
-304,-12480,23968,-6516,9581,55,-43000,7000,91000,229869,
3836,-18488,31636,-283,8267,-251,-43000,7000,90000,229881,
4880,-19584,32767,1545,8066,-490,-43000,7000,90000,229884,
5440,-20692,32767,3621,7724,-828,-43000,7000,90000,229886,
7560,-26476,32767,12114,9055,-1932,-42000,8000,89000,229899,
7236,-26080,32767,12354,9378,-1681,-42000,8000,89000,229901,
6600,-25292,32767,12418,10174,-1153,-42000,8000,89000,229903,
3156,-13696,32767,6905,19962,2573,-41000,9000,88000,229916,
2736,-12152,32767,5654,21799,2793,-41000,10000,88000,229918,
2100,-10308,32767,4240,23364,2808,-41000,10000,88000,229921,
-3972,-8384,32767,-539,25844,-611,-41000,12000,86000,229933,
-6084,-8608,31804,-698,25203,-1356,-41000,12000,86000,229935,
-7308,-8788,30556,-884,24166,-2097,-41000,12000,85000,229938,
-12300,-9968,23380,1258,15787,-2707,-41000,13000,84000,229950,
-14476,-10032,20964,1499,12659,-2965,-41000,14000,84000,229953,
-13528,-9780,18956,1684,10003,-2880,-41000,14000,84000,229955,
-7928,-10076,16572,3788,3007,-877,-41000,14000,83000,229967,
-8308,-11004,19384,5207,1929,-825,-41000,14000,83000,229970,
-7356,-8788,11192,4752,728,-859,-41000,14000,83000,229972,
-4980,-7820,11120,5162,-1463,-1687,-40000,14000,83000,229985,
-4808,-7524,10616,5184,-1663,-1707,-40000,14000,83000,229987,
-5200,-7396,10100,4950,-1880,-1771,-40000,14000,83000,229989,
-5176,-7188,8008,5065,-2441,-1947,-40000,13000,83000,230002,
-5028,-7224,7832,5091,-2568,-1942,-40000,13000,83000,230004,
-3524,-8160,6812,6121,-2817,-1962,-39000,13000,83000,230017,
-3216,-8244,6588,6384,-2758,-1873,-39000,13000,83000,230019,
-3044,-8328,6436,6592,-2820,-1838,-39000,13000,83000,230021,
-2768,-8944,6196,7590,-2314,-1194,-38000,13000,83000,230034,
-2768,-8796,6276,7586,-2083,-1021,-38000,13000,83000,230036,
-2808,-8684,5832,7795,-1900,-835,-38000,13000,83000,230038,
-1816,-7500,5772,7375,-792,-148,-37000,13000,83000,230051,
-1580,-7288,5940,7405,-450,-49,-37000,13000,83000,230053,
-1676,-7248,6024,7089,-220,-83,-37000,13000,83000,230055,
-1164,-6312,6252,5807,1525,-377,-37000,13000,83000,230068,
-1188,-6152,6268,5406,1880,-374,-36000,13000,83000,230070,
-1132,-6040,6340,5116,2240,-446,-36000,13000,83000,230072,
-1220,-5344,6972,2655,4261,-559,-36000,13000,83000,230085,
