Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
-5316,-2264,15424,-284,1016,-491,-14000,27000,340000,1196477,
-5384,-2272,15324,-284,1017,-482,-14000,27000,340000,1196479,
-5848,-2200,15352,-346,461,-496,-14000,27000,340000,1196492,
-5760,-2268,15296,-377,430,-495,-14000,27000,340000,1196494,
-5676,-2268,15172,-374,296,-493,-14000,27000,340000,1196496,
-5164,-2128,15300,-488,185,-516,-14000,27000,340000,1196509,
-5052,-2116,15260,-473,182,-484,-14000,27000,340000,1196512,
-4924,-2088,15192,-497,289,-463,-14000,27000,340000,1196514,
-4772,-2128,15464,-473,727,-387,-14000,27000,340000,1196527,
-4764,-2108,15284,-489,822,-362,-14000,27000,340000,1196529,
-4760,-2200,15380,-471,937,-386,-14000,27000,340000,1196531,
-5232,-2144,15348,-498,1091,-273,-14000,27000,340000,1196544,
-5404,-2196,15192,-501,1105,-305,-14000,27000,340000,1196547,
-5400,-2104,15248,-476,1004,-278,-14000,27000,340000,1196549,
-5468,-2036,15256,-543,858,-313,-14000,27000,340000,1196562,
-5460,-2116,15252,-561,796,-299,-14000,27000,340000,1196564,
-5368,-2096,15244,-600,769,-299,-14000,27000,340000,1196566,
-5184,-2016,15304,-624,737,-278,-14000,27000,340000,1196579,
-5156,-2032,15404,-653,767,-281,-14000,27000,340000,1196582,
-5148,-2068,15364,-599,762,-294,-14000,27000,340000,1196584,
-5236,-2156,15332,-623,810,-251,-14000,27000,340000,1196597,
-5348,-2104,15364,-556,742,-272,-14000,27000,340000,1196599,
-5344,-2052,15336,-632,707,-244,-14000,27000,340000,1196601,
-5528,-2164,15292,-610,505,-261,-14000,27000,340000,1196614,
-5716,-2064,15268,-650,470,-248,-14000,27000,340000,1196616,
-5648,-2080,15448,-622,442,-251,-14000,27000,340000,1196619,
-5240,-2048,15180,-650,332,-253,-14000,27000,340000,1196632,
-5212,-1992,15136,-614,328,-258,-14000,27000,340000,1196634,
-5272,-2068,15200,-639,355,-239,-14000,27000,340000,1196636,
-5156,-2016,15320,-590,622,-201,-14000,27000,340000,1196649,
-5180,-2048,15428,-634,684,-208,-14000,27000,340000,1196651,
-5164,-2172,15244,-625,764,-189,-14000,27000,340000,1196654,
-5428,-2020,15456,-549,837,-150,-14000,27000,340000,1196667,
-5452,-2140,15300,-548,855,-177,-14000,27000,340000,1196669,
-5492,-2180,15456,-532,758,-159,-14000,27000,340000,1196671,
-6004,-2068,15304,-529,473,-164,-14000,27000,340000,1196684,
-5892,-2096,15528,-552,370,-182,-14000,27000,340000,1196686,
-5864,-2076,15396,-597,292,-180,-14000,27000,340000,1196689,
-5796,-2172,15576,-610,-9,-215,-14000,27000,340000,1196702,
-5608,-2172,15508,-619,19,-232,-14000,27000,340000,1196704,
-5544,-2112,15508,-547,-59,-239,-14000,27000,340000,1196706,
-5164,-2156,15408,-558,197,-286,-14000,27000,340000,1196719,
-5208,-2164,15520,-507,303,-272,-14000,27000,340000,1196722,
-5128,-2332,15480,-529,363,-236,-14000,27000,340000,1196724,
-5272,-2124,15444,-406,691,-186,-14000,27000,340000,1196737,
-5228,-2268,15624,-410,715,-180,-14000,27000,340000,1196739,
-5284,-2256,15404,-393,754,-197,-14000,27000,340000,1196741,
-5660,-2152,15552,-347,549,-122,-14000,27000,340000,1196754,
-5668,-2136,15488,-330,544,-165,-14000,27000,340000,1196756,
-5680,-2172,15448,-319,462,-133,-14000,27000,340000,1196759,
-5544,-2068,15540,-304,291,-134,-14000,27000,340000,1196772,
-5384,-2104,15324,-297,246,-119,-14000,27000,340000,1196774,
-5364,-2108,15348,-318,220,-103,-14000,27000,340000,1196777,
-5180,-2028,15368,-298,303,-113,-14000,27000,340000,1196789,
-5196,-2024,15388,-338,352,-109,-14000,27000,340000,1196792,
-5324,-2056,15444,-300,381,-101,-14000,27000,340000,1196794,
-5404,-1972,15432,-287,434,-77,-14000,27000,340000,1196807,
-5512,-1960,15264,-293,356,-65,-14000,27000,340000,1196809,
-5432,-2184,15424,-312,334,-28,-14000,27000,340000,1196812,
-5500,-2088,15420,-304,202,-26,-14000,27000,340000,1196824,
-5504,-2032,15340,-326,165,-13,-14000,27000,340000,1196827,
-5484,-2028,15316,-322,195,-25,-14000,27000,340000,1196829,
-5508,-2056,15404,-355,60,11,-14000,27000,340000,1196842,
-5444,-2028,15256,-355,78,-43,-14000,27000,340000,1196844,
-5512,-2028,15404,-321,63,19,-14000,27000,340000,1196847,
-5268,-2240,15524,-303,225,36,-14000,27000,340000,1196863,
-5368,-2240,15572,-304,344,30,-14000,27000,340000,1196865,
-5404,-2088,15620,-264,366,31,-14000,27000,340000,1196868,
-5288,-2236,15440,-213,652,24,-14000,27000,340000,1196880,
-5392,-2228,15432,-220,657,49,-14000,27000,340000,1196883,
-5304,-2208,15436,-212,736,63,-14000,27000,340000,1196885,
-5416,-2076,15380,-168,808,87,-14000,27000,340000,1196898,
-5488,-2136,15336,-146,856,56,-14000,27000,340000,1196900,
-5556,-2168,15348,-109,827,66,-14000,27000,340000,1196903,
-5504,-2176,15320,-105,755,27,-14000,27000,340000,1196915,
-5548,-2144,15132,-90,646,36,-14000,27000,340000,1196918,
-5612,-2060,15172,-134,625,43,-14000,27000,340000,1196920,
-5528,-1964,15164,-99,349,-8,-14000,27000,340000,1196933,
-5584,-2012,15120,-135,318,-21,-14000,27000,340000,1196935,
-5508,-2032,14996,-133,335,-49,-14000,27000,340000,1196938,
-5304,-2040,15116,-165,318,-65,-14000,27000,340000,1196950,
-5248,-1996,15184,-136,370,-109,-14000,27000,340000,1196953,
-5188,-1972,15124,-150,386,-86,-14000,27000,340000,1196955,
-5052,-1980,15116,-147,849,-150,-14000,27000,340000,1196968,
-5016,-1952,15200,-150,885,-162,-14000,27000,340000,1196970,
-5092,-2016,15284,-148,990,-134,-14000,27000,340000,1196973,
-5508,-2212,15124,-72,1150,-89,-14000,27000,340000,1196985,
-5604,-2068,15192,-54,1155,-101,-14000,27000,340000,1196988,
-5704,-2096,15264,-25,1104,-94,-14000,27000,340000,1196990,
-5988,-2256,15180,-5,815,-127,-14000,27000,340000,1197003,
-6032,-2240,15256,17,696,-112,-14000,27000,340000,1197005,
-6048,-2176,15160,-33,558,-122,-14000,27000,340000,1197008,
-5848,-1992,15184,-82,133,-211,-14000,27000,340000,1197020,
-5708,-2096,15232,-104,154,-231,-14000,27000,340000,1197023,
-5668,-2056,15348,-125,185,-263,-14000,27000,340000,1197025,
-5292,-2076,15160,-151,365,-211,-14000,27000,340000,1197038,
-5232,-2044,15316,-123,491,-223,-14000,27000,340000,1197040,
-5224,-2004,15100,-108,509,-192,-14000,27000,340000,1197043,
-5348,-2048,15168,-137,953,-162,-14000,27000,340000,1197055,
-5424,-2044,15124,-117,961,-152,-14000,27000,340000,1197058,
-5528,-1924,15116,-162,967,-116,-14000,27000,340000,1197060,
-5968,-2016,15180,-222,777,-56,-14000,27000,340000,1197073,
-5952,-2020,15068,-260,700,-46,-14000,27000,340000,1197075,
-6036,-2096,15140,-244,671,-46,-14000,27000,340000,1197077,
-5996,-1964,15064,-438,212,11,-14000,27000,340000,1197090,
-5956,-2000,15128,-457,202,6,-14000,27000,340000,1197092,
-5852,-1920,14960,-495,75,21,-14000,27000,340000,1197095,
-5480,-1852,14944,-586,30,41,-14000,27000,340000,1197107,
-5388,-1816,14932,-629,7,92,-14000,27000,340000,1197110,
-5284,-1872,14908,-636,24,77,-14000,27000,340000,1197112,
-5544,-1924,14904,-696,187,179,-14000,27000,340000,1197125,
-5468,-2040,15140,-704,245,188,-14000,27000,340000,1197127,
-5468,-1992,15044,-677,229,193,-14000,27000,340000,1197130,
-5560,-1960,14908,-831,143,224,-14000,27000,340000,1197143,
-5536,-1948,14748,-818,103,245,-14000,27000,340000,1197145,
-5624,-1780,14912,-849,41,230,-14000,27000,340000,1197147,
-5496,-1944,14976,-945,-85,226,-14000,27000,340000,1197160,
-5560,-1888,15160,-999,-81,206,-14000,27000,340000,1197163,
-5516,-1872,15108,-988,-21,207,-14000,27000,340000,1197165,
-5428,-2056,15116,-1074,79,203,-14000,27000,340000,1197178,
-5412,-2176,15244,-1046,98,162,-14000,27000,340000,1197180,
-5376,-2044,15160,-1032,46,197,-14000,27000,340000,1197182,
-5644,-2108,15204,-1009,15,174,-14000,27000,340000,1197195,
-5680,-2152,15164,-1030,-23,190,-14000,27000,340000,1197198,
-5728,-2308,15136,-1051,-42,158,-14000,27000,340000,1197200,
-5720,-2220,15160,-1007,-125,173,-14000,27000,340000,1197213,
-5804,-2132,15288,-1039,-144,173,-14000,27000,340000,1197215,
-5780,-2176,15304,-1028,-82,134,-14000,27000,340000,1197218,
-5552,-2196,15332,-1006,12,152,-14000,26000,340000,1197230,
-5548,-2224,15260,-961,68,120,-14000,26000,340000,1197233,
-5424,-2268,15280,-961,87,138,-14000,26000,340000,1197235,
-5504,-2404,15300,-846,529,192,-14000,26000,340000,1197251,
-5472,-2272,15296,-859,607,179,-14000,26000,340000,1197254,
-5532,-2208,15396,-841,605,204,-14000,26000,340000,1197256,
-5816,-2140,15248,-818,538,130,-14000,26000,340000,1197269,
-5880,-2156,15040,-783,462,155,-14000,26000,340000,1197271,
-5960,-2076,15176,-818,422,137,-14000,26000,340000,1197274,
-5940,-2124,15340,-745,208,119,-14000,26000,340000,1197286,
-5808,-2136,15340,-790,138,126,-14000,26000,340000,1197289,
-5828,-2188,15188,-798,128,85,-14000,26000,340000,1197291,
-5616,-2264,15132,-750,4,110,-14000,26000,340000,1197304,
-5660,-2136,15084,-700,47,91,-14000,26000,340000,1197306,
-5560,-2088,15076,-728,42,98,-14000,26000,340000,1197309,
-5496,-2100,15180,-688,269,103,-14000,26000,340000,1197321,
-5416,-2164,15168,-689,312,118,-14000,26000,340000,1197324,
-5424,-2040,15136,-710,390,146,-14000,26000,340000,1197326,
-5488,-2132,15216,-682,537,106,-14000,26000,340000,1197339,
-5516,-2052,15152,-730,587,87,-14000,26000,340000,1197341,
-5532,-2108,15116,-666,549,74,-14000,26000,340000,1197344,
-5844,-2032,15168,-671,419,85,-15000,26000,340000,1197356,
-5892,-2056,15204,-632,324,114,-15000,26000,340000,1197359,
-5868,-2144,15104,-667,264,108,-15000,26000,340000,1197361,
-5832,-1888,15124,-742,-54,5,-15000,26000,340000,1197374,
-5796,-1976,15152,-750,-76,-31,-15000,26000,340000,1197376,
-5660,-1972,15256,-749,-44,-51,-15000,26000,340000,1197379,
-5264,-1896,15200,-782,183,-69,-15000,26000,340000,1197391,
-5168,-2008,15284,-765,276,-78,-15000,26000,340000,1197394,
-5140,-2020,15292,-790,323,-25,-15000,26000,340000,1197396,
-5288,-1888,15408,-716,851,-40,-15000,26000,340000,1197409,
-5328,-2004,15276,-754,881,-4,-15000,26000,340000,1197411,
-5364,-1952,15168,-774,946,-22,-15000,26000,340000,1197414,
-5820,-1876,15336,-754,874,-5,-15000,26000,340000,1197426,
-5912,-1980,15232,-753,875,-10,-15000,26000,340000,1197429,
-5804,-1948,15136,-689,790,22,-15000,26000,340000,1197431,
-5948,-1972,15248,-698,432,37,-15000,26000,340000,1197444,
-5920,-1972,15388,-706,286,38,-15000,26000,340000,1197446,
-6040,-1864,15248,-727,213,58,-15000,26000,340000,1197448,
-5788,-1944,15140,-729,-100,83,-15000,26000,340000,1197461,
-5784,-1832,15188,-758,-105,123,-15000,26000,340000,1197463,
-5696,-1932,15100,-739,-81,140,-15000,26000,340000,1197466,
-5404,-1852,15196,-757,95,210,-15000,26000,340000,1197478,
-5328,-1804,15356,-703,169,199,-15000,26000,340000,1197481,
-5384,-1780,15124,-762,242,232,-15000,26000,340000,1197483,
-5348,-1916,15208,-757,591,262,-15000,26000,341000,1197496,
-5428,-1944,15224,-789,636,308,-15000,26000,341000,1197498,
-5516,-2060,15200,-769,701,291,-15000,26000,341000,1197501,
-5864,-2200,15232,-741,642,395,-15000,26000,341000,1197513,
-5900,-2128,15288,-723,612,405,-15000,26000,341000,1197516,
-6028,-2048,15248,-685,520,394,-15000,26000,341000,1197518,
-6152,-2196,15444,-710,27,316,-15000,26000,341000,1197531,
-6180,-2052,15128,-668,-104,325,-15000,26000,341000,1197533,
-6176,-2172,15284,-742,-196,326,-15000,26000,341000,1197536,
-5872,-2304,15368,-652,-432,342,-15000,26000,341000,1197548,
-5816,-2236,15268,-654,-398,343,-15000,26000,341000,1197551,
-5704,-2344,15312,-634,-358,318,-15000,26000,341000,1197553,
-5256,-2248,15360,-582,86,349,-15000,26000,341000,1197566,
-5216,-2248,15356,-529,196,321,-15000,26000,341000,1197568,
-5264,-2308,15404,-562,303,345,-15000,26000,341000,1197571,
-5324,-2356,15312,-470,786,343,-15000,26000,341000,1197583,
-5552,-2316,15204,-501,835,410,-15000,26000,341000,1197586,
-5520,-2212,15188,-497,895,347,-15000,26000,341000,1197588,
-5736,-2272,15196,-453,930,405,-15000,26000,341000,1197601,
-5880,-2272,15016,-448,912,331,-15000,26000,341000,1197603,
-5896,-2352,15176,-401,818,360,-15000,26000,341000,1197606,
-6060,-2180,15208,-434,349,265,-15000,26000,341000,1197618,
-6052,-2344,15040,-455,194,299,-15000,26000,341000,1197621,
-6176,-2312,15112,-457,68,272,-15000,26000,341000,1197623,
-6052,-2372,15060,-421,-312,256,-15000,26000,341000,1197636,
-5888,-2356,15004,-459,-351,287,-15000,26000,341000,1197638,
-5904,-2240,15068,-449,-333,262,-15000,26000,341000,1197641,
-5336,-2304,15132,-475,-88,231,-15000,26000,341000,1197653,
-5196,-2244,15160,-490,75,197,-15000,26000,341000,1197656,
-5052,-2164,15208,-471,123,255,-15000,26000,341000,1197658,
-5100,-2308,15112,-471,829,248,-15000,26000,341000,1197671,
-5108,-2320,14916,-452,921,267,-15000,26000,341000,1197673,
-5288,-2320,15136,-464,1028,298,-15000,26000,341000,1197676,
-5696,-2316,14988,-400,1143,280,-15000,26000,341000,1197689,
-5844,-2176,15084,-438,1096,255,-15000,26000,341000,1197691,
