Ax,Ay,Az,Gx,Gy,Gz,Roll,Pitch,Yaw,Timestamp,Target
4212,1992,16032,-370,-106,-304,8000,-14000,168000,197419,
4180,1980,15940,-357,-99,-272,8000,-14000,168000,197421,
4036,1968,15852,-338,-111,-246,8000,-14000,168000,197424,
4172,1944,16104,-371,-164,-170,8000,-14000,168000,197436,
4168,1932,16024,-357,-163,-160,8000,-14000,168000,197438,
4232,2068,16092,-378,-189,-131,8000,-14000,168000,197440,
4236,2188,16364,-339,-297,-48,8000,-14000,168000,197453,
4472,2188,16412,-357,-301,-53,8000,-14000,168000,197455,
4344,2072,16536,-341,-321,-49,8000,-14000,168000,197457,
4380,2288,16516,-317,-397,9,8000,-14000,168000,197470,
4424,2200,16700,-269,-419,10,8000,-14000,168000,197472,
4364,2264,16652,-268,-415,16,8000,-14000,168000,197474,
4456,2232,16644,-112,-423,12,8000,-14000,168000,197487,
4460,2180,16520,-84,-434,37,8000,-14000,168000,197489,
4444,2040,16636,-41,-413,17,8000,-14000,168000,197491,
4468,2148,16476,138,-303,7,8000,-14000,168000,197503,
4548,2116,16380,146,-272,-35,8000,-14000,168000,197506,
4660,2112,16352,202,-228,-23,8000,-14000,168000,197508,
4700,2204,16228,354,46,-24,8000,-14000,168000,197520,
4584,2236,16348,380,77,-51,8000,-14000,168000,197523,
4652,2296,16356,403,152,-47,8000,-14000,168000,197525,
4728,2192,16164,426,205,-30,8000,-14000,168000,197527,
4552,2296,16284,502,519,-7,8000,-14000,168000,197540,
4512,2308,16252,507,581,-26,8000,-14000,168000,197542,
4380,2304,16208,518,609,-13,8000,-14000,168000,197544,
4324,2332,16196,597,832,-54,8000,-14000,168000,197557,
4396,2336,16064,620,879,-64,8000,-14000,168000,197559,
4228,2328,15904,632,908,-69,8000,-14000,168000,197561,
4116,2396,15800,621,987,-67,8000,-14000,168000,197574,
3988,2232,15884,596,1011,-82,8000,-14000,168000,197576,
3960,2316,15776,597,991,-88,9000,-14000,168000,197578,
3884,2420,15680,553,887,-162,9000,-14000,168000,197590,
3892,2424,15544,531,892,-140,9000,-14000,168000,197593,
3896,2388,15636,517,885,-154,9000,-14000,168000,197595,
3948,2444,15568,437,868,-167,9000,-14000,168000,197608,
