subject_dir,gender,hand,build,age
subject_0,M,RH,Slim,17
subject_1,M,RH,Medium,18
subject_2,M,RH,Slim,18
subject_3,F,RH,Medium,18
subject_4,M,RH,Slim,19
subject_5,M,RH,Slim,17
subject_6,M,RH,Slim,18
subject_7,F,RH,Slim,19
subject_8,M,LH,Slim,18
subject_9,M,LH,Buff,20
subject_10,M,RH,Slim,22
subject_11,M,RH,Slim,17
subject_12,F,RH,Medium,18
subject_13,M,RH,Medium,20
subject_14,M,LH,Medium,20
subject_15,M,LH,Slim,20
subject_16,M,RH,Slim,18
subject_17,M,RH,Medium,18
subject_18,M,RH,Medium,17
subject_19,M,RH,Medium,18
subject_20,M,RH,Slim,33
subject_21,NA,NA,NA,NAN
subject_22,M,RH,Slim,18
subject_23,F,RH,Slim,20
subject_24,M,RH,Medium,22
subject_26,M,RH,Slim,18
subject_27,M,RH,Slim,18
subject_28,F,RH,Slim,19
subject_29,M,RH,Slim,21
subject_30,M,RH,Slim,20
subject_31,F,RH,Slim,19
subject_32,M,RH,Medium,18
subject_33,M,RH,Slim,23
subject_34,M,RH,Slim,18
subject_35,M,RH,Medium,19
subject_36,M,RH,Buff,22
subject_37,M,RH,Buff,18
subject_38,M,RH,Medium,21
subject_39,F,RH,Slim,19
subject_40,M,RH,Medium,18
subject_41,M,RH,Buff,22
subject_42,F,RH,Slim,19
subject_43,M,RH,Slim,20
subject_44,F,RH,Slim,18
subject_45,M,RH,Medium,20
subject_46,M,RH,Slim,30
subject_47,F,RH,Slim,19
subject_48,M,RH,Medium,NAN
subject_49,M,RH,Buff,21
